"Species","ID","Strain","RefStrain","Gene","Assembly_ID","NCBI_Reference_sequence","Strain_name","FASTA_name"
"Streptomyces noursei","9304181","A-2-1",TRUE,"rpsL","ASM1691775v1","NZ_CP070326.1","A-2-1","rpsL_Streptomyces_noursei_A-2-1"
"Streptomyces parvulus","754431","2297",TRUE,"rpsL","ASM166004v1","NZ_CP015867.1","2297","rpsL_Streptomyces_parvulus_2297"
"Streptomyces viridochromogenes","22557081","JCM 4856",TRUE,"rpsL","ASM3953294v1","NZ_BAAASP010000011.1","JCM_4856","rpsL_Streptomyces_viridochromogenes_JCM_4856"
"Thermus thermophilus","113978","HB8",TRUE,"rpsL","ASM9154v1","NC_006461.1","HB8","rpsL_Thermus_thermophilus_HB8"
"Veillonella parvula","1180721","NCTC11810",TRUE,"rpsL","48903_D01","NZ_LT906445.1","NCTC11810","rpsL_Veillonella_parvula_NCTC11810"
"Wolbachia pipientis","4325811","wMel_N25",TRUE,"rpsL","ASM797168v1","NZ_CP042446.1","wMel_N25","rpsL_Wolbachia_pipientis_wMel_N25"
"Xanthomonas citri pv. citri","315921","MN12",TRUE,"rpsL","ASM96121v1","NZ_CP008998.1","MN12","rpsL_Xanthomonas_citri_pv._citri_MN12"
"Xanthomonas oryzae pv. oryzae","71307178","A44",FALSE,"rpsL","A44","NZ_CP182544.1","A44","rpsL_Xanthomonas_oryzae_pv._oryzae_A44"
"Xanthomonas oryzae pv. oryzicola","4726371","GX01",TRUE,"rpsL","ASM837083v2","NZ_KR071788.1","GX01","rpsL_Xanthomonas_oryzae_pv._oryzicola_GX01"
"Yersinia pestis","369568","A1122",TRUE,"rpsL","ASM22297v1","NC_017169.1","A1122","rpsL_Yersinia_pestis_A1122"
