phylum,class,order,family,genus
Cyanobacteriota,Cyanophyceae,Nostocales,Nodulariaceae,Anabaenopsis
Cyanobacteriota,Cyanophyceae,Nostocales,Nodulariaceae,Umezakia
Bacillota,Bacilli,Bacillales,Bacillaceae,Salipaludibacillus
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Candidatus Haliotispira
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Auritidibacter
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Volucribacter
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudophaeobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Profundicola
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Aurantibacillaceae,Aurantibacillus
Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Thiovibrionaceae,Thiovibrio
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Galbibacter
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Nitrospirillum
Chloroflexota,Dehalococcoidia,Candidatus Lucifugimonadales,Candidatus Lucifugimonadaceae,Candidatus Lucifugimonas
Actinomycetota,Actinomycetes,Mycobacteriales,Speluncibacteraceae,Speluncibacter
Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera
Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Exercitatus
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Tepidibacter
Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,Bdellovibrio
Bacillota,Clostridia,Eubacteriales,Desulfotomaculaceae,Pelotomaculum
Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Luteipulveratus
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Eudoraea
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetovibrionaceae,Varunaivibrio
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Brytella
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Polluticoccus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Pollutibacter
Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Caproiciproducens
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Roseiarcaceae,Terripilifer
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Neopoerus
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Extensimonas
Pseudomonadota,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Marinimicrococcus
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudothioclava
Ignavibacteriota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Stygiobacter
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Psychromarinibacter
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Amygdalobacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia
Bacteroidota,Bacteroidia,Marinilabiliales,Marinifilaceae,Paralabilibaculum
Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalihalobacterium
Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,Synoicihabitans
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xylella
Pseudomonadota,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Pseudemcibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella
Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Zooshikellaceae,Spartinivicinus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Arvimicrobium
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Entomospira
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Roseinatronobacter
Lentisphaerota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera
Bacillota,Bacilli,Bacillales,Bacillaceae,Allobacillus
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas
Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rouxiella
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Tahibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureisphaera
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroserpens
Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus
Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Temperatibacteraceae,Gimibacter
Verrucomicrobiota,Verrucomicrobiia,Limisphaerales,Fontisphaeraceae,Fontisphaera
Actinomycetota,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia
Bacillota,Bacilli,Bacillales,Bacillaceae,Terrihalobacillus
Myxococcota,NA,Nannocystales,Nannocystaceae,Nannocystis
Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Stigmatella
Myxococcota,NA,Polyangiales,Polyangiaceae,Sorangium
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Kamptonema
Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum
Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Sphaerospermopsis
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea
Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus
Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Saccharicrinis
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Thermomonas
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pontixanthobacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Primorskyibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassococcus
Campylobacterota,Epsilonproteobacteria,Nautiliales,Nitratiruptoraceae,Nitratiruptor
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Hoeflea
Campylobacterota,Epsilonproteobacteria,Nautiliales,Nitratiruptoraceae,Nitrosophilus
Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter
Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulforhabdus
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium
Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Neptunitalea
Vulcanimicrobiota,Vulcanimicrobiia,Vulcanimicrobiales,Vulcanimicrobiaceae,Vulcanimicrobium
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Philodulcilactobacillus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sinisalibacter
Bacillota,Clostridia,Lachnospirales,Vallitaleaceae,Vallitalea
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylopilaceae,Hansschlegelia
Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Herbiconiux
Armatimonadota,Armatimonadia,Capsulimonadales,Capsulimonadaceae,Capsulimonas
Pseudomonadota,Alphaproteobacteria,Emcibacterales,Govaniaceae,Govania
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Oleispirillaceae,Oleispirillum
Bacillota,Clostridia,Lachnospirales,Cellulosilyticaceae,Holtiella
