ncbi_species,species
Erwinia pyrifoliae,Erwinia pyrifoliae
uncultured Faecalibaculum,Faecalibaculum sp910588395
Dubosiella newyorkensis,Dubosiella newyorkensis
Ruminimicrobiellum ovillum,Ruminimicrobiellum ovillum
Alistipes excrementavium,Alistipes excrementavium
Psychrobacter pasteurii,Psychrobacter pasteurii
Rhodopirellula bahusiensis,Rhodopirellula bahusiensis
Lacticaseibacillus paracasei,Lacticaseibacillus paracasei
Prevotella communis,Prevotella communis
Gemella sanguinis,Gemella sanguinis
bacterium 1xD42-87,UBA3282 sp003611805
Avacholeplasma faecigallinarum,Anaeroplasma faecigallinarum
Hwangdonia seohaensis,Hwangdonia seohaensis
Campylobacter novaezeelandiae,Campylobacter_D novaezeelandiae
Nisaea denitrificans,Nisaea denitrificans
Amphiplicatus sp.,JAVJPA01 sp040216495
Duncaniella freteri,Duncaniella freteri
Vicinibacter affinis,Vicinibacter affinis
Methylomonas fluvii,Methylomonas fluvii
Rhodococcus oxybenzonivorans,Rhodococcus_F oxybenzonivorans
Streptomyces heilongjiangensis,Streptomyces heilongjiangensis
Bacillus haynesii,Bacillus haynesii
Aureimonas jatrophae,Aureimonas jatrophae
Gluconobacter cerevisiae,Gluconobacter cerevisiae
Paractinoplanes rishiriensis,Actinoplanes rishiriensis
Lactobacillus crispatus,Lactobacillus crispatus
Duncaniella muris,Duncaniella muris
Desulfosarcina alkanivorans,Desulfosarcina alkanivorans
Bacillus halotolerans,Bacillus halotolerans
Fusobacterium animalis,Fusobacterium animalis
Citrobacter koseri,Citrobacter_B koseri
Lederbergia wuyishanensis,Lederbergia_A wuyishanensis
Microvirga massiliensis,Microvirga massiliensis
Falseniella ignava,Falseniella ignava
Mixta mediterraneensis,Pantoea mediterraneensis
Tsuneonella flava,Tsuneonella flava
Chlamydia pecorum,Chlamydophila pecorum
Staphylococcus petrasii,Staphylococcus petrasii
Brenneria bubanii,Brenneria bubanii
Acinetobacter radioresistens,Acinetobacter radioresistens
Shewanella xiamenensis,Shewanella xiamenensis
Lentilactobacillus parabuchneri,Lentilactobacillus parabuchneri
Rahnella aceris,Rahnella aceris
Bombiscardovia coagulans,Bombiscardovia coagulans
Microbacterium algeriense,Microbacterium algeriense
Duganella lactea,Duganella lactea
Corynebacterium stationis,Corynebacterium stationis
Nocardiopsis alba,Nocardiopsis alba
Paracidovorax citrulli,Paracidovorax citrulli
Metalachnospira gallinarum,Metalachnospira gallinarum
Haemophilus ducreyi,Haemophilus_B ducreyi
Amphritea japonica,Amphritea japonica
Salinibacter altiplanensis,Salinibacter altiplanensis
Burkholderia dolosa,Burkholderia dolosa
Tritonibacter aquimaris,Epibacterium aquimaris
Sodalis-like endosymbiont,GCA-001602625 sp001602625
Lactobacillus iners,Lactobacillus iners
Rathayibacter toxicus,Rathayibacter toxicus
Streptococcus parauberis,Streptococcus parauberis
Clostridium chauvoei,Clostridium chauvoei
Seongchinamella unica,Halioglobus unicus
Nocardia seriolae,Nocardia seriolae
Nitrosomonas europaea,Nitrosomonas europaea
Helicobacter hepaticus,Helicobacter_C hepaticus
Helicobacter rodentium,Helicobacter_D rodentium
Bibersteinia trehalosi,Bibersteinia trehalosi
Vibrio campbellii,Vibrio campbellii
Parolsenella catena,Parolsenella catena
Marinomonas primoryensis,Marinomonas primoryensis
Stutzerimonas balearica,Stutzerimonas balearica
Pectobacterium versatile,Pectobacterium versatile
Gallibacterium anatis,Gallibacterium anatis
Maribacter luteus,Maribacter_A luteus
Phaeobacter inhibens,Phaeobacter inhibens
Kushneria marisflavi,Kushneria marisflavi
Streptomyces clavuligerus,Streptomyces clavuligerus
Colwellia ponticola,Colwellia ponticola
Parendozoicomonas haliclonae,Sansalvadorimonas haliclonae
Brocadia sapporoensis,Brocadia sapporoensis
Listeria seeligeri,Listeria seeligeri
Myroides injenensis,Flavobacterium injenense
Corynebacterium singulare,Corynebacterium singulare
Pseudomonas furukawaii,Metapseudomonas furukawaii
Micromonospora sediminimaris,Micromonospora sediminimaris
Pedobacter zeae,Pedobacter zeae
Lactococcus formosensis,Lactococcus formosensis
Massilia niastensis,Telluria niastensis
Metamycoplasma equirhinis,Metamycoplasma equirhinis
Nocardia gamkensis,Nocardia gamkensis
Bacteroides heparinolyticus,Bacteroides heparinolyticus
Stutzerimonas nitrititolerans,Stutzerimonas nitrititolerans
Scatomonas merdavium,Scatomonas merdavium
Prevotella micans,Prevotella micans
Flavobacterium flavigenum,Flavobacterium flavigenum
Fimimorpha faecalis,Fimimorpha faecalis
Corynebacterium humireducens,Corynebacterium humireducens
Chlamydia abortus,Chlamydophila abortus
Staphylococcus argenteus,Staphylococcus argenteus
Cutibacterium avidum,Cutibacterium avidum
Paenibacillus pinihumi,Paenibacillus_D pinihumi
Streptomyces chryseus,Streptomyces chryseus
Eggerthella lenta,Eggerthella lenta
Pasteurella skyensis,Phocoenobacter skyensis
Aminobacterium colombiense,Aminobacterium colombiense
Caproicibacterium lactatifermentans,Caproicibacterium lactatifermentans
Malaciobacter molluscorum,Malaciobacter molluscorum
Clostridium sulfidigenes,Clostridium_J sulfidigenes
Escherichia albertii,Escherichia albertii
Nocardia otitidiscaviarum,Nocardia otitidiscaviarum
Aerococcus mictus,Aerococcus mictus
Enterococcus durans,Enterococcus_B durans
Elizabethkingia anophelis,Elizabethkingia anophelis
Celaenobacter polaris,Celaenobacter polaris
Thermodesulfobacterium commune,Thermodesulfobacterium commune
