ncbi_species,species
Micromonospora ureilytica,Micromonospora ureilytica
Aeromonas schubertii,Aeromonas schubertii
cf. Phormidesmis,Phormidesmis sp015207105
Shewanella maritima,Shewanella maritima
Pullichristensenella excrementipullorum,Pullichristensenella excrementipullorum
uncultured Kiritimatiellaceae,Pontiella sp964014015
Maliibacterium massiliense,Maliibacterium massiliense
Cryobacterium sandaracinum,Cryobacterium sandaracinum
Caballeronia arationis,Caballeronia arationis
Acinetobacter qingfengensis,Acinetobacter qingfengensis
Metabacillus fastidiosus,Metabacillus fastidiosus
Vibrio qinghaiensis,Vibrio ordalii
Brevundimonas kwangchunensis,Brevundimonas kwangchunensis
Christensenella hongkongensis,Christensenella hongkongensis
Iningainema tapete,Iningainema tapete
uncultured Ahrensia,Oricola sp002706335
Faecicola pullistercoris,Faecicola pullistercoris
Aliidiomarina soli,Aliidiomarina soli
Texas Phoenix,Phytoplasma sp005774685
Streptomyces gilvosporeus,Streptomyces gilvosporeus
Psychrobacter luti,Psychrobacter luti
Vibrio hangzhouensis,Vibrio hangzhouensis
Desulfosarcina ovata,Desulfosarcina ovata
Gluconacetobacter johannae,Gluconacetobacter johannae
Komagataeibacter nataicola,Komagataeibacter nataicola
Gemmobacter fulvus,Gemmobacter fulvus
Methylobacterium oryzihabitans,Methylobacterium oryzihabitans
Desulfatibia sp.,Desulfatibia_A sp036446775
Cyrtobacter comes,Cyrtobacter comes
Leptospira perolatii,Leptospira_B perolatii
Flavobacterium turcicum,Flavobacterium turcicum
uncultured Fibrobacterales,CAWVXU01 sp963934255
Magnetocorallium paracelense,Magnetocorallium paracelense
Pseudomonas phytovorans,Pseudomonas_E phytovorans
Leptotrichia massiliensis,Leptotrichia massiliensis
Kaistia granuli,Kaistia granuli
Cohnella kolymensis,Cohnella kolymensis
Paenibacillus rhizophilus,Paenibacillus rhizophilus
Patiriisocius marinus,Patiriisocius marinus
Azorhizobium oxalatiphilum,Azorhizobium oxalatiphilum
Erythrobacter oryzae,Erythrobacter oryzae
Marinomonas fungiae,Marinomonas fungiae
Psychroflexus tropicus,Psychroflexus tropicus
Humimicrobium sp.,Humimicrobium sp012837825
Ornithinimicrobium cerasi,Ornithinimicrobium cerasi
Sunxiuqinia dokdonensis,Sunxiuqinia dokdonensis
Eubacterium cellulosolvens,Bilifractor cellulosolvens
Streptococcus massiliensis,Streptococcus massiliensis
Nonlabens arenilitoris,Nonlabens arenilitoris
Bacteroides intestinipullorum,Bacteroides intestinipullorum
Dictyoglomus thermophilum,Dictyoglomus thermophilum
Psychroserpens ponticola,Psychroserpens ponticola
Levilactobacillus tangyuanensis,Levilactobacillus tangyuanensis
Weissella sagaensis,Weissella sagaensis
Methylobacterium brachythecii,Methylobacterium brachythecii
Gloeocapsopsis dulcis,Gloeocapsopsis dulcis
Bradyrhizobium huanghuaihaiense,Bradyrhizobium huanghuaihaiense
Chryseobacterium shandongense,Chryseobacterium shandongense
Falsiruegeria mediterranea,Falsiruegeria mediterranea
Listeria rustica,Listeria_A rustica
Faecousia intestinavium,Faecousia intestinavium
Sulfurimonas baltica,Sulfurimonas baltica
Microcella putealis,Microcella putealis
Haloechinothrix sp.,Haloechinothrix sp033042135
Slackia exigua,Slackia exigua
Cellvibrio fontiphilus,Cellvibrio fontiphilus
Exiguobacterium algae,Exiguobacterium algae
Bifidobacterium magnum,Bifidobacterium magnum
Flavobacterium silvaticum,Flavobacterium silvaticum
Acetivibrio mesophilus,Hungateiclostridium mesophilum
Aquabacterium fontiphilum,Aquabacterium fontiphilum
Methylophaga thalassica,Methylophaga thalassica
Nosocomiicoccus sp.,Nosocomiicoccus ampullae_A
Tractidigestivibacter sp.,Tractidigestivibacter sp004557505
Microcella pacifica,Microcella pacifica
uncultured Saccharophagus,Saccharophagus sp937920545
Flavobacterium macrobrachii,Flavobacterium macrobrachii
Limosilactobacillus walteri,Limosilactobacillus walteri
Aquaticitalea lipolytica,Aquaticitalea lipolytica
Lysobacter arenosi,Lysobacter_J arenosi
Lentilactobacillus curieae,Lentilactobacillus curieae
Choladousia intestinipullorum,Choladousia intestinipullorum
Ideonella alba,Ideonella alba
Gelidibacter algens,Gelidibacter algens
Halomonas huangheensis,Halomonas huangheensis
Brevibacterium picturae,Brevibacterium picturae
Streptomyces thermoviolaceus,Streptomyces thermoviolaceus
Polaribacter tangerinus,Polaribacter tangerinus
Ornithospirochaeta stercoripullorum,Ornithospirochaeta stercoripullorum
Limosilactobacillus merdigallinarum,Limosilactobacillus merdigallinarum
Ancylobacter pratisalsi,Ancylobacter pratisalsi
Tepidimonas taiwanensis,Tepidimonas taiwanensis
Devosia submarina,Devosia submarina
Psychrosphaera saromensis,Psychrosphaera saromensis
Chryseobacterium gallinarum,Chryseobacterium gallinarum
Flavobacterium cellulosilyticum,Flavobacterium cellulosilyticum
Xanthomonas indica,Xanthomonas_A indica
Thalassovita gelatinovora,Thalassobius gelatinovorus
Spirosoma endbachense,Spirosoma endbachense
Bacteroides luhongzhouii,Bacteroides luhongzhouii
Pseudomonas flexibilis,Serpens flexibilis
Croceibacterium xixiisoli,Croceibacterium xixiisoli
Cellulomonas gilvus,Cellulomonas gilvus
Granulicella cerasi,Granulicella cerasi
Aurantiacibacter spongiae,Aurantiacibacter_B spongiae
Pseudoramibacter alactolyticus,Pseudoramibacter alactolyticus
Vibrio pectenicida,Vibrio pectenicida
Curtanaerobium respiraculi,Curtanaerobium respiraculi
Kytococcus schroeteri,Kytococcus schroeteri
uncultured Giesbergeria,Simplicispira sp017987055
Spiroplasma poulsonii,Spiroplasma poulsonii
Labilibaculum antarcticum,Labilibaculum antarcticum
Sporosarcina cascadiensis,Sporosarcina cascadiensis
Jiangella gansuensis,Jiangella gansuensis
bacterium UBA1459,UBA1459 sp002325765
Brocadia fulgida,Brocadia fulgida
Rhodocytophaga rosea,Rhodocytophaga rosea
Streptomyces triticisoli,Streptomyces triticisoli
Nonomuraea rubra,Nonomuraea rubra
Flavobacterium tyrosinilyticum,Flavobacterium tyrosinilyticum
Nocardia amikacinitolerans,Nocardia amikacinitolerans
Roseovarius faecimaris,Roseovarius faecimaris
Pseudomonas adelgestsugas,Pseudomonas_E adelgestsugas
Roseibium salinum,Roseibium salinum
Kitasatospora fiedleri,Kitasatospora fiedleri
Terrimonas ginsenosidimutans,Terrimonas_A ginsenosidimutans
Thermus filiformis,Thermus_A filiformis
Mangrovimonas xylaniphaga,Mangrovimonas_A xylaniphaga
Wenyingzhuangia aestuarii,Wenyingzhuangia aestuarii
Thalassolituus alkanivorans,Venatoribacter alkanivorans
Nitrosymbiomonas proteolyticus,Nitrosymbiomonas proteolyticus
Nocardioides immobilis,Nocardioides immobilis
Acetobacter conturbans,Acetobacter conturbans
Sphingomonas mali,Sphingomonas mali
Sphingomonas formosensis,Sphingomonas_M formosensis
Egerieimonas intestinavium,Egerieimonas intestinavium
Blautia excrementigallinarum,Blautia_A excrementigallinarum
Duganella levis,Duganella levis
Trueperella abortisuis,Trueperella abortisuis
Paenibacillus radicibacter,Paenibacillus_AM radicibacter
Ohessyouella blattaphilus,Aequitasia blattaphilus_A
Microbacterium awajiense,Microbacterium awajiense
Salirhabdus salicampi,Salirhabdus_A salicampi
Nitrospirillum viridazoti,Nitrospirillum viridazoti
Mycoplasma buteonis,Mycoplasmopsis buteonis
Thalassobacillus cyri,Thalassobacillus cyri
Colwellia maritima,Colwellia maritima
Corynebacterium felinum,Corynebacterium felinum
Psychrilyobacter piezotolerans,Psychrilyobacter piezotolerans
Nonomuraea helvata,Nonomuraea helvata
Bartonella silvatica,Bartonella silvatica
Borkfalkia excrementavium,Borkfalkia excrementavium
Streptococcus gallinaceus,Streptococcus gallinaceus
Faecalibacterium longum,Faecalibacterium longum
Parapedobacter indicus,Parapedobacter indicus
Halodesulfovibrio marinisediminis,Halodesulfovibrio marinisediminis
Pseudomonas californiensis,Pseudomonas_E californiensis
Leptospira yanagawae,Leptospira_A yanagawae
Qiania dongpingensis,Lientehia dongpingensis
Enterococcus florum,Enterococcus_A florum
Bhargavaea beijingensis,Bhargavaea beijingensis
Pectobacterium fontis,Pectobacterium fontis
Pseudomonas subflava,Pseudomonas_E subflava
Devosia limi,Devosia limi
Nitratidesulfovibrio vulgaris,Nitratidesulfovibrio vulgaris
Neorhizobium tomejilense,Neorhizobium tomejilense
Paraliobacillus ryukyuensis,Paraliobacillus ryukyuensis
Paractinoplanes toevensis,Actinoplanes toevensis
Clostridium homopropionicum,Clostridium_H homopropionicum
Rodentibacter ratti,Rodentibacter ratti
Flemingiibacterium sp.,Flemingiibacterium sp900546315
Halomonas piscis,Vreelandella piscis
Laedolimicola ammoniilytica,Laedolimicola ammoniilytica
Jeotgalicoccus nanhaiensis,Jeotgalicoccus nanhaiensis
Sediminicola arcticus,YIK13 sp040566695
Nitrincola schmidtii,Nitrincola schmidtii
Shewanella gelidii,Shewanella gelidii
Cellulomonas wangleii,Cellulomonas wangleii
Gimibacter soli,Gimibacter soli
Ralstonia flaminis,Ralstonia flaminis
Leeuwenhoekiella marinoflava,Leeuwenhoekiella marinoflava
Stieleria sedimenti,Stieleria sedimenti
Sulfurovum indicum,Sulfurovum indicum
Myroides fluvii,Flavobacterium fluvii_A
Amycolatopsis regifaucium,Amycolatopsis regifaucium
Thermosipho atlanticus,Thermosipho_A atlanticus
Hyphobacterium indicum,Hyphobacterium indicum
Pedobacter albus,Pedobacter albus
Plastoroseomonas hellenica,Plastoroseomonas hellenica
Planktophila versatilis,Planktophila versatilis
Streptomyces pinistramenti,Streptomyces pinistramenti
Leuconostoc palmae,Leuconostoc palmae
Stercoripulliclostridium merdigallinarum,Stercoripulliclostridium_A merdigallinarum
Janthinobacterium rivuli,Janthinobacterium rivuli
Aromatoleum toluclasticum,Aromatoleum toluclasticum
Pseudonocardia oroxyli,Pseudonocardia oroxyli
Saccharothrix violaceirubra,Actinosynnema violaceirubrum
Chryseobacterium paridis,Chryseobacterium paridis
Extensimonas sp.,Extensimonas sp029211265
Vallotia sp.,Mycetohabitans sp020342435
Bipolaricaulis sibiricus,Bipolaricaulis sibiricus
Chitinophaga oryzae,Chitinophaga oryzae
Hydrogenovibrio halophilus,Hydrogenovibrio halophilus
Altererythrobacter lutimaris,Erythrobacter lutimaris_A
Paenibacillus turicensis,Fontibacillus turicensis
Pleomorphomonas koreensis,Pleomorphomonas koreensis
Nocardioides daphniae,Nocardioides daphniae
Gemmiger stercoravium,Gemmiger stercoravium
Paenisporosarcina antarctica,Paenisporosarcina antarctica
Spiroplasma litorale,Spiroplasma_A litorale
Algimonas ampicilliniresistens,Litorimonas ampicilliniresistens
Phyllobacterium leguminum,Paramesorhizobium leguminum
Francisella persica,Francisella persica
Aminithiophilus ramosus,Aminithiophilus ramosus
Methylobacterium currus,Methylobacterium currus
Maioricimonas sp.,Maioricimonas sp040717465
Phaeobacter marinintestinus,Phaeobacter_A marinintestinus
Litorimonas taeanensis,Litorimonas taeanensis
Citrobacter europaeus,Citrobacter europaeus
Corynebacterium bouchesdurhonense,Corynebacterium bouchesdurhonense
Oceanibium sediminis,Halovulum sediminis
Enterocloster lavalensis,Enterocloster lavalensis
Streptococcus downei,Streptococcus downei
Flavivirga amylovorans,Flavivirga amylovorans
Pseudoalteromonas donghaensis,Pseudoalteromonas lipolytica
Demequina globuliformis,Demequina globuliformis
Alkalimarinus sediminis,Alkalimarinus sediminis
Saccharibacter floricola,Saccharibacter floricola
Staphylococcus rostri,Staphylococcus rostri
Blautia liquoris,Novisyntrophococcus liquoris
Aedoeadaptatus pacaensis,Aedoeadaptatus pacaensis
Legionella birminghamensis,Legionella_C birminghamensis
Paucilactobacillus kaifaensis,Paucilactobacillus kaifaensis
Streptomyces antnestii,Streptomyces antnestii
Plantactinospora mayteni,Plantactinospora mayteni
Accumulibacter adiacens,Accumulibacter adiacens
Pullichristensenella stercoripullorum,Pullichristensenella stercoripullorum
Paenibacillus azoreducens,Paenibacillus azoreducens
Levilactobacillus mulengensis,Levilactobacillus mulengensis
Absicoccus intestinalis,Absicoccus intestinalis
Kribbibacterium absianum,Kribbibacterium absianum
Pseudomonas siliginis,Pseudomonas_E siliginis
Halopseudomonas oceani,Halopseudomonas oceani
Allgaiera indica,Acidimangrovimonas indica
Lachnoclostridium avicola,Lachnoclostridium_A avicola
Psychromonas antarctica,Psychromonas antarctica
Thermosipho melanesiensis,Thermosipho melanesiensis
Enterobacter lignolyticus,Enterobacter_B lignolyticus
Gluconobacter aidae,Gluconobacter aidae
Roseovarius litorisediminis,Roseovarius litorisediminis
Avidehalobacter sp.,Avidehalobacter sp022797295
Thermosynechococcus sichuanensis,Thermosynechococcus sichuanensis
Malacoplasma girerdii,Malacoplasma_A girerdii
Tunturibacter gelidoferens,Edaphobacter gelidoferens
Rubripirellula tenax,Rubripirellula tenax
Pseudoroseicyclus tamaricis,Pseudoroseicyclus_A tamaricis
Halopseudomonas pertucinogena,Halopseudomonas pertucinogena
Xiashengella succiniciproducens,Geofilum succiniciproducens
Fluviibacter sp.,Fluviibacter sp040262735
Mycoplasmoides genitalium,Mycoplasmoides genitalium
Sinobaca qinghaiensis,Sinobaca qinghaiensis
Peribacillus faecalis,Bacillus_AD faecalis
Marinifilum breve,Marinifilum breve
Clostridium polyendosporum,Clostridium_AR polyendosporum
Kryptobacter tengchongensis,Kryptonium tengchongense
Faecimorpha stercoravium,Faecimorpha stercoravium
Ornithocaccomicrobium faecavium,Alectryocaccomicrobium faecavium
Planktophila dulcis,Planktophila dulcis
Pelotomaculum propionicicum,Pelotomaculum_B propionicicum
Pseudomonas salmasensis,Pseudomonas_E salmasensis
Lolliginicoccus suaedae,Lolliginicoccus suaedae
Paenibacillus agaridevorans,Pristimantibacillus agaridevorans
Dickeya aquatica,Dickeya aquatica
Leptospira alexanderi,Leptospira alexanderi
Paenibacillus aceti,Fontibacillus aceti
Brucella pseudintermedia,Brucella pseudintermedia
Thalassospira mesophila,Thalassospira mesophila
Estrella lausannensis,Estrella lausannensis
Thermomonas paludicola,Thermomonas paludicola
Solimonas aquatica,Solimonas aquatica
Allochromatium vinosum,Thermochromatium vinosum
Microbacterium terricola,Microbacterium terricola
Guopingia tenuis,Guopingia tenuis
Chitinimonas taiwanensis,Chitinimonas taiwanensis
Sphingobacterium stercorigallinarum,Sphingobacterium stercorigallinarum
Micropelagos thuwalensis,Micropelagos thuwalensis
Mycobacterium europaeum,Mycobacterium europaeum
Nocardia tenerifensis,Nocardia tenerifensis
Thioclava dalianensis,Thioclava dalianensis
Massiliimalia timonensis,Massiliimalia timonensis
Saezia sanguinis,Saezia sanguinis
Pediococcus claussenii,Pediococcus claussenii
Flavobacterium tagetis,Flavobacterium tagetis
Roseomonas rubea,Neoroseomonas rubea
Globicatella sulfidifaciens,Globicatella sulfidifaciens
Chitinophaga solisilvae,Chitinophaga solisilvae
Maritimibacter alexandrii,Maritimibacter alkaliphilus
Galbibacter mesophilus,Galbibacter mesophilus
Paenibacillus pini,Paenibacillus pini
Paenibacillus tengchongensis,Paenibacillus tengchongensis
Subtercola frigoramans,Subtercola frigoramans
Flavonifractor avistercoris,Flavonifractor avistercoris
Suipraeoptans intestinalis,Suipraeoptans intestinalis
Spectribacter hydrogenooxidans,Spectribacter hydrogenooxidans
Syntrophobotulus glycolicus,Syntrophobotulus glycolicus
Bacillus niameyensis,Lederbergia niameyensis
Aureivirga sp.,Aureivirga sp015767245
Pseudoscardovia radai,Pseudoscardovia radai
Salipiger pentaromativorans,Salipiger pentaromativorans
Massilia soli,Telluria soli
Rothia amarae,Rothia amarae
Microaerobacter geothermalis,Microaerobacter geothermalis
Salimicrobium sp.,Salimicrobium sp036428785
Trichococcus pasteurii,Trichococcus pasteurii
Thermocrispum municipale,Thermocrispum municipale
Agromyces terreus,Agromyces terreus
Pandoraea pulmonicola,Pandoraea pulmonicola
Trueperella bialowiezensis,Trueperella bialowiezensis
Siccirubricoccus deserti,Siccirubricoccus deserti
Aedoeadaptatus acetigenes,Aedoeadaptatus acetigenes
Moorena bouillonii,Moorena bouillonii
Micromonospora vinacea,Micromonospora vinacea
Pontibacter akesuensis,Pontibacter akesuensis
Marivirga salinae,Marivirga salinae
Vibrio panuliri,Vibrio panuliri
Cytobacillus stercorigallinarum,Cytobacillus stercorigallinarum
Vibrio thalassae,Vibrio thalassae
Allofranklinella schreckenbergeri,Lampropedia schreckenbergeri
Exiguobacterium marinum,Exiguobacterium marinum
Algoriphagus aestuarii,Algoriphagus aestuarii
Thioclava nitratireducens,Thioclava nitratireducens
Anatilimnocola aggregata,Anatilimnocola aggregata
Noviherbaspirillum massiliense,Noviherbaspirillum massiliense
Bradyrhizobium oropedii,Bradyrhizobium oropedii
Evansella clarkii,Evansella clarkii
Phocaeicola oris,Phocaeicola oris
bacterium HR30,HRBIN30 sp002898795
Pseudohaliea sp.,Pseudohaliea sp040217025
Nannocystis poenicansa,Nannocystis poenicansa
Streptomyces pluripotens,Streptomyces pluripotens
Leptospira soteropolitanensis,Leptospira_A soteropolitanensis
Burkholderia catarinensis,Burkholderia catarinensis
Caballeronia zhejiangensis,Caballeronia zhejiangensis
Qipengyuania sphaerica,Qipengyuania sphaerica
Amycolatopsis ultiminotia,Amycolatopsis ultiminotia
Nostocoides vanveenii,Nostocoides_A vanveenii
Alistipes excrementigallinarum,Alistipes excrementigallinarum
uncultured Coraliomargarita,Merdousia sp000438015
Streptococcus pantholopis,Streptococcus pantholopis
Cohnella xylanilytica,Cohnella xylanilytica
Paenibacillus bouchesdurhonensis,Fontibacillus bouchesdurhonensis
Solincola daggyaiensis,Solincola_B daggyaiensis
Parvularcula bermudensis,Parvularcula bermudensis
Adhaeribacter terrigena,Adhaeribacter_A terrigena
Marinobacter mobilis,Marinobacter mobilis
Luteolibacter yonseiensis,Luteolibacter yonseiensis
Psychrobacillus psychrotolerans,Psychrobacillus psychrotolerans
Croceivirga lutea,Croceivirga_A lutea
Flavobacterium ranwuense,Flavobacterium ranwuense
Thermocrinis jamiesonii,Thermocrinis jamiesonii
Clostridiales genomosp.,UBA629 sp005465875
Diplocloster modestus,Diplocloster modestus
Tepidimonas fonticaldi,Tepidimonas fonticaldi
bacterium UBA7470,UBA2334 sp002479815
uncultured Planifilum,Planifilum sp021793745
Prevotella scopos,Prevotella scopos
Oricola thermophila,Oricola thermophila
Agromyces agglutinans,Agromyces agglutinans
Anaerofilum excrementigallinarum,Anaerofilum excrementigallinarum
Faecalibacter macacae,Faecalibacter macacae
Roseospira navarrensis,Rhodospira navarrensis
Algoriphagus iocasae,Algoriphagus iocasae
Olleya namhaensis,Olleya namhaensis
Anaplasma centrale,Anaplasma centrale
Kitasatospora viridis,Kitasatospora viridis
Mucispirillum faecigallinarum,Mucispirillum faecigallinarum
Isoptericola dokdonensis,Isoptericola dokdonensis
Kaistia terrae,Kaistia terrae
Flavobacterium hiemivividum,Flavobacterium hiemivividum
Mariprofundus ferrinatatus,Mariprofundus ferrinatatus
Pseudomonas ekonensis,Pseudomonas_E ekonensis
Alkalimonas cellulosilytica,Alkalimonas cellulosilytica
Andreprevotia chitinilytica,Andreprevotia chitinilytica
Polaribacter dokdonensis,Polaribacter dokdonensis
Paenibacillus cremeus,Paenibacillus_G cremeus
Hominimerdicola aceti,Hominimerdicola aceti
Legionella maioricensis,Legionella maioricensis
Bartonella machadoae,Bartonella machadoae
Pseudomonas hamedanensis,Pseudomonas_E hamedanensis
Streptococcus macacae,Streptococcus macacae
Anaerosolibacter carboniphilus,Anaerosolibacter carboniphilus
Aphodomorpha intestinavium,Aphodomorpha intestinavium
Microbacterium phycohabitans,Microbacterium phycohabitans
Kutzneria chonburiensis,Kutzneria chonburiensis
Crossiella cryophila,Crossiella cryophila
Psychrobacter lutiphocae,Psychrobacter lutiphocae
Vreelandella azerica,Vreelandella azerica
Nocardioides jensenii,Nocardioides jensenii
Alkaliphilus flagellatus,Alkaliphilus_B flagellatus
Methylophaga lonarensis,Methylophaga lonarensis
Micromonospora humi,Micromonospora humi
Tessaracoccus massiliensis,Arachnia massiliensis_A
Mesomycoplasma flocculare,Mesomycoplasma flocculare
Spirosoma endophyticum,Spirosoma endophyticum
Mycoplasma seminis,Mycoplasmopsis seminis
Psychrobacter pygoscelis,Psychrobacter pygoscelis
Tsukamurella pulmonis,Tsukamurella pulmonis
Enterococcus crotali,Enterococcus crotali
Mycolicibacterium xanthum,Mycobacterium xanthum
Thermobifida halotolerans,Thermobifida halotolerans
Pontibacter aquaedesilientis,Pontibacter aquaedesilientis
Staphylococcus caeli,Staphylococcus caeli
Clostridium malenominatum,Clostridium_AW malenominatum
Thioclava marina,Thioclava marina
Algimonas porphyrae,Litorimonas porphyrae
Aeromonas encheleia,Aeromonas encheleia
Streptomyces xiamenensis,Streptomyces xiamenensis
Flavobacterium filum,Flavobacterium filum
Flavobacterium glycines,Flavobacterium glycines
Pelobium manganitolerans,Pelobium manganitolerans
Peptostreptococcus canis,Peptostreptococcus canis
Enterousia scatequi,Enterousia scatequi
Agathobaculum intestinipullorum,Agathobaculum intestinipullorum
Xenorhabdus thuongxuanensis,Xenorhabdus thuongxuanensis
Lactiplantibacillus songbeiensis,Lactiplantibacillus songbeiensis
Agrobacterium rosae,Agrobacterium rosae
Mesobacillus harenae,Mesobacillus_A harenae
Bombiscardovia apis,Bombiscardovia apis
Sphingobium amiense,Sphingobium amiense
Mariluticola halotolerans,Mariluticola halotolerans
Chryseobacterium turcicum,Chryseobacterium turcicum
Zymobacter palmae,Zymobacter palmae
Cryobacterium roopkundense,Cryobacterium roopkundense
Muricomes intestini,Muricomes intestini
Stappia albiluteola,Hongsoonwoonella albiluteola
Syntrophothermus lipocalidus,Syntrophothermus lipocalidus
Roseivivax marinus,Roseivivax marinus
Nonomuraea rhodomycinica,Nonomuraea rhodomycinica
Pseudidiomarina marina,Pseudidiomarina marina
Macrococcus epidermidis,Macrococcoides epidermidis
Streptomyces iakyrus,Streptomyces iakyrus
Alcaligenes pakistanensis,Alcaligenes pakistanensis
Galligastranaerophilus intestinavium,Galligastranaerophilus intestinavium
Undibacterium cyanobacteriorum,Undibacterium cyanobacteriorum
Limosilactobacillus urinaemulieris,Limosilactobacillus urinaemulieris
Acinetobacter larvae,Acinetobacter larvae
Clostridium tetanomorphum,Clostridium_AO tetanomorphum
Oscillibacter pullicola,Oscillibacter pullicola
Geobacillus zalihae,Geobacillus zalihae
Geoalkalibacter subterraneus,Geoalkalibacter_A subterraneus
Paenochrobactrum gallinarii,Paenochrobactrum gallinarii
Gemmata palustris,Gemmata palustris
Anaerococcus murdochii,Anaerococcus murdochii
uncultured Tepidamorphus,Microbaculum sp905479765
Paracoccus jeotgali,Paracoccus jeotgali
Leptolyngbya foveolarum,Phormidesmis foveolarum
Caldicellulosiruptor acetigenus,Caldicellulosiruptor acetigenus
Amycolatopsis acididurans,Amycolatopsis acididurans
Ulvibacterium sp.,Ulvibacterium sp028285715
uncultured Absicoccus,Absicoccus sp000434355
uncultured Uliginosibacterium,Niveibacterium sp945957295
Cacconaster scatequi,Cacconaster scatequi
Gordonia prachuapensis,Gordonia prachuapensis
Haemophilus felis,Pasteurella felis
Xanthomonas hydrangeae,Xanthomonas hydrangeae
Vagococcus acidifermentans,Vagococcus_B acidifermentans
Hydrogenovibrio kuenenii,Hydrogenovibrio kuenenii
Scatomonas pullistercoris,Scatomonas pullistercoris
Baileyella intestinalis,Baileyella intestinalis
Marinobacter guineae,Marinobacter guineae
Sphingobium nicotianae,Sphingobium nicotianae
Bacteroidetes oral,F0058 sp000163695
Aquirhabdus parva,Aquirhabdus parva
Flexifilum breve,Flexifilum breve
uncultured Thermomicrobium,Thermomicrobium sp938028665
Cysteiniphilum halobium,Cysteiniphilum halobium
Actinoplanes subtropicus,Actinoplanes subtropicus
Motilimonas eburnea,Motilimonas eburnea
Magnetospirillum aberrantis,Magnetospirillum aberrantis
Phytomonospora endophytica,Phytomonospora endophytica
Aetokthonos hydrillicola,Aetokthonos hydrillicola
Rhodoplanes elegans,Rhodoplanes elegans
Absicoccus porci,Absicoccus porci
Streptomyces cylindrosporus,Streptomyces cylindrosporus
Elioraea tepidiphila,Elioraea tepidiphila
Nakamurella flavida,Nakamurella flavida
Sodalis glossinidius,Sodalis glossinidius
Chitinimonas prasina,Chitinimonas prasina
Actinomyces wuliandei,Actinomyces wuliandei
Chryseobacterium arachidis,Chryseobacterium arachidis
Phycicoccus avicenniae,Phycicoccus avicenniae
Aerococcus urinaehominis,Aerococcus urinaehominis
Helicobacter mustelae,Helicobacter_H mustelae
Eremococcus coleocola,Eremococcus coleocola
Desulfopertinax cowenii,Desulfopertinax cowenii
Limosilactobacillus intestinavium,Limosilactobacillus intestinavium
uncultured Bythopirellula,Bythopirellula sp963935315
Crassaminicella thermophila,Crassaminicella_A thermophila
Sphingomonas alpina,Sphingomonas alpina
Xenorhabdus mauleonii,Xenorhabdus mauleonii
Flavobacterium akiainvivens,Flavobacterium akiainvivens
Sphingobacterium paucimobilis,Sphingobacterium paucimobilis
Chryseobacterium muglaense,Chryseobacterium muglaense
Pseudomonas lactucae,Pseudomonas_E lactucae
Nanosynbacteraceae bacterium,JBHAEP01 sp041855665
Hydrogenibacillus schlegelii,Hydrogenibacillus schlegelii
Microsyncoccus archaeolyticus,Microsyncoccus archaeolyticus
Ventricola gallistercoris,Ventricola gallistercoris
Nonlabens marinus,Nonlabens marinus
Flavobacterium ammonificans,Flavobacterium ammonificans
Qipengyuania aestuarii,Qipengyuania aestuarii
Paraburkholderia atlantica,Paraburkholderia atlantica
uncultured Apibacter,Apibacter sp945280365
Pseudoxanthomonas composti,Pseudoxanthomonas_A composti
Bacillus benzoevorans,Bacillus_BD benzoevorans
Herbaspirillum chlorophenolicum,Herbaspirillum chlorophenolicum
Pseudarthrobacter polychromogenes,Arthrobacter polychromogenes
Winogradskya consettensis,Actinoplanes consettensis
Actinopolymorpha pittospori,Actinopolymorpha pittospori
Oceanobacter kriegii,Oceanobacter kriegii
Sneathiella limimaris,Sneathiella limimaris
Sinomonas humi,Sinomonas humi
Planococcus plakortidis,Planococcus plakortidis
Cottocaccamicrobium excrementipullorum,Caccovicinus excrementipullorum
Hopanoidivorans cymbastelae,Hopanoidiivorans cymbastelae
Roseofilum halophilum,Roseofilum halophilum
Dietzia psychralcaliphila,Dietzia psychralcaliphila
Nonomuraea lactucae,Nonomuraea lactucae
Bifidobacterium polysaccharolyticum,Bombiscardovia polysaccharolytica
Actinomadura meyerae,Spirillospora meyerae
Metabacillus sediminilitoris,Metabacillus sediminilitoris
Marinibacterium profundimaris,Marinibacterium profundimaris
Polynucleobacter brandtiae,Polynucleobacter brandtiae
Streptomyces gossypii,Streptomyces gossypii
Thermokryptus mobilis,Kryptonium mobile
Alkalicoccobacillus porphyridii,Alkalicoccobacillus porphyridii
Arsenophonus nilaparvatae,Arsenophonus nilaparvatae
Sunxiuqinia elliptica,Sunxiuqinia elliptica
Hallerella succinigenes,Hallerella succinigenes
Frankineae bacterium,MT45 sp900100325
Hydrogenophaga aromaticivorans,Hydrogenophaga aromaticivorans
Pannonibacter carbonis,Pannonibacter carbonis
Legionella micdadei,Tatlockia micdadei
Salinivibrio proteolyticus,Salinivibrio proteolyticus
Enterobacter wuhouensis,Enterobacter wuhouensis
Chlamydia avium,Chlamydophila avium
Minicystis rosea,Minicystis rosea
Desulfuromonas acetexigens,Trichloromonas acetexigens
Bacillus australimaris,Bacillus australimaris
Lapidilactobacillus luobeiensis,Lapidilactobacillus luobeiensis
Cytophaga aurantiaca,Cytophaga aurantiaca
Listeria grayi,Listeria grayi
Psychrobacter fozii,Psychrobacter fozii
Mucilaginibacter aquariorum,Mucilaginibacter aquariorum
Profundibacterium mesophilum,Profundibacterium mesophilum
Stenomitos rutilans,Stenomitos rutilans
