family,order,class,phylum,n,n_res,f_res
Coprothermobacteraceae,Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,2,0,0
Coraliomargaritaceae,Puniceicoccales,Opitutia,Verrucomicrobiota,6,0,0
Coralliovaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,21,18,0.8571428571428571
Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,178,12,0.06741573033707865
Coxiellaceae,Legionellales,Gammaproteobacteria,Pseudomonadota,18,0,0
Crenotrichaceae,Methylococcales,Gammaproteobacteria,Pseudomonadota,1,0,0
Criblamydiaceae,Parachlamydiales,Chlamydiia,Chlamydiota,2,0,0
Crocinitomicaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,14,0,0
Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Cryptosporangiaceae,Cryptosporangiales,Actinomycetes,Actinomycetota,5,0,0
Culicoidibacteraceae,Culicoidibacterales,Culicoidibacteria,Bacillota,1,0,0
Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,99,0,0
Cyclonatronaceae,Balneolales,Balneolia,Balneolota,2,0,0
Cymatolegaceae,Nodosilineales,Cyanophyceae,Cyanobacteriota,4,0,0
Cytophagaceae,Cytophagales,Cytophagia,Bacteroidota,40,0,0
Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacterota,2,0,0
Deferrisomataceae,Deferrisomatales,Deferrisomatia,Thermodesulfobacteriota,1,0,0
Deferrivibrionaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,0,0
Defluviitaleaceae,Lachnospirales,Clostridia,Bacillota,3,0,0
Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexota,2,0,0
Deinococcaceae,Deinococcales,Deinococci,Deinococcota,87,3,0.034482758620689655
Demequinaceae,Micrococcales,Actinomycetes,Actinomycetota,26,0,0
Dermabacteraceae,Micrococcales,Actinomycetes,Actinomycetota,33,0,0
Dermacoccaceae,Micrococcales,Actinomycetes,Actinomycetota,24,4,0.16666666666666666
Dermatophilaceae,Micrococcales,Actinomycetes,Actinomycetota,9,0,0
Dermocarpellaceae,Pleurocapsales,Cyanophyceae,Cyanobacteriota,1,0,0
Desertifilaceae,Desertifilales,Cyanophyceae,Cyanobacteriota,5,0,0
Desulfallaceae,Eubacteriales,Clostridia,Bacillota,6,0,0
Desulfarculaceae,Desulfarculales,Desulfarculia,Thermodesulfobacteriota,3,0,0
Desulfatibacillaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,2,0,0
Desulfatiglandaceae,Desulfatiglandales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfatirhabdiaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfitibacteraceae,Moorellales,Clostridia,Bacillota,2,0,0
Desulfitobacteriaceae,Eubacteriales,Clostridia,Bacillota,18,0,0
Desulfobaccaceae,Desulfobaccales,Desulfobaccia,Thermodesulfobacteriota,1,0,0
Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,16,0,0
Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,13,1,0.07692307692307693
Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,10,0,0
Desulfococcaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,4,0,0
Desulfocucumaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfohalobiaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,2,0,0
Desulfolunaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,3,0,0
Desulfomicrobiaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,6,0,0
Desulfomonilaceae,Desulfomonilales,Desulfomonilia,Thermodesulfobacteriota,1,0,0
Desulfonatronaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,4,0,0
Desulfonatronovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,3,0,0
Desulfonauticaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,2,0,0
Desulfoplanaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulforegulaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfosalsimonadaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfosarcinaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,7,0,0
Desulfosudaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfotomaculaceae,Eubacteriales,Clostridia,Bacillota,6,0,0
Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,79,0,0
Desulfurellaceae,Desulfurellales,Desulfurellia,Campylobacterota,2,0,0
Desulfuribacillaceae,Desulfuribacillales,Desulfuribacillia,Bacillota,2,0,0
Desulfurisporaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfurobacteriaceae,Desulfurobacteriales,Aquificia,Aquificota,8,0,0
Desulfuromonadaceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,6,0,0
Dethiobacteraceae,Dethiobacterales,Dethiobacteria,Bacillota,1,0,0
Dethiosulfovibrionaceae,Synergistales,Synergistia,Synergistota,9,0,0
Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,59,59,1
Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomota,2,0,0
Dietziaceae,Mycobacteriales,Actinomycetes,Actinomycetota,13,0,0
Dissulfuribacteraceae,Dissulfuribacterales,Dissulfuribacteria,Thermodesulfobacteriota,1,0,0
Dissulfurirhabdaceae,NA,Deltaproteobacteria,NA,1,0,0
Dissulfurispiraceae,Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,1,0,0
Dongiaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,5,0,0
Dysgonomonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,15,0,0
Echinimonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,4,0,0
Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,46,0,0
Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,44,8,0.18181818181818182
Egibacteraceae,Egibacterales,Nitriliruptoria,Actinomycetota,1,0,0
Egicoccaceae,Egicoccales,Nitriliruptoria,Actinomycetota,1,0,0
Elioraeaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Elusimicrobiaceae,Elusimicrobiales,Elusimicrobia,Elusimicrobiota,1,0,0
Emcibacteraceae,Emcibacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Endomicrobiaceae,Endomicrobiales,Endomicrobiia,Elusimicrobiota,1,0,0
Endozoicomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,14,0,0
Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,166,0,0
Enterococcaceae,Lactobacillales,Bacilli,Bacillota,100,6,0.06
Entomoplasmataceae,Entomoplasmatales,Mollicutes,Mycoplasmatota,14,0,0
Erwiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,78,2,0.02564102564102564
Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Bacillota,42,0,0
Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,144,144,1
Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,36,0,0
Eubacteriales Family XII. Incertae Sedis,Eubacteriales,Clostridia,Bacillota,4,0,0
Euzebyaceae,Euzebyales,Nitriliruptoria,Actinomycetota,3,0,0
Fastidiosibacteraceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,7,0,0
Ferrimonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,13,0,0
Ferrovaceae,Ferrovales,Betaproteobacteria,Pseudomonadota,1,0,0
Fervidobacteriaceae,Thermotogales,Thermotogae,Thermotogota,13,0,0
Fibrobacteraceae,Fibrobacterales,Fibrobacteria,Fibrobacterota,4,0,0
Fidelibacteraceae,Fidelibacterales,Fidelibacteria,Fidelibacterota,1,0,0
Filifactoraceae,Peptostreptococcales,Clostridia,Bacillota,7,0,0
Fimbriimonadaceae,Fimbriimonadales,Fimbriimonadia,Armatimonadota,1,0,0
Flammeovirgaceae,Cytophagales,Cytophagia,Bacteroidota,14,0,0
Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,987,0,0
Flectobacillaceae,Cytophagales,Cytophagia,Bacteroidota,26,0,0
Flexibacteraceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Flexistipitaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,0,0
Fluviibacteraceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,1,0,0
Fontisphaeraceae,Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,1,0,0
Fortieaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Francisellaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,19,0,0
Frankiaceae,Frankiales,Actinomycetes,Actinomycetota,17,0,0
Fulvivirgaceae,Cytophagales,Cytophagia,Bacteroidota,19,0,0
Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteriota,28,0,0
Futianiaceae,Futianiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Gaiellaceae,Gaiellales,Thermoleophilia,Actinomycetota,1,0,0
Gallaecimonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,4,0,0
Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,5,0,0
Gaopeijiaceae,Gaopeijiales,Longimicrobiia,Gemmatimonadota,1,0,0
Gemellaceae,Bacillales,Bacilli,Bacillota,8,0,0
Geminicoccaceae,Geminicoccales,Alphaproteobacteria,Pseudomonadota,9,0,0
Geminocystaceae,Chroococcales,Cyanophyceae,Cyanobacteriota,2,0,0
Gemmataceae,Gemmatales,Planctomycetia,Planctomycetota,12,12,1
Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadia,Gemmatimonadota,6,0,0
Geoalkalibacteraceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,3,0,0
Geobacteraceae,Geobacterales,Desulfuromonadia,Thermodesulfobacteriota,39,0,0
Geochordaceae,Limnochordales,Limnochordia,Bacillota,1,0,0
Geodermatophilaceae,Geodermatophilales,Actinomycetes,Actinomycetota,55,0,0
Geopsychrobacteraceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,3,0,0
Geothermobacteraceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,2,0,0
Geovibrionaceae,Deferribacterales,Deferribacteres,Deferribacterota,5,0,0
Gloeobacteraceae,Gloeobacterales,Cyanophyceae,Cyanobacteriota,3,0,0
Gloeomargaritaceae,Gloeomargaritales,Cyanophyceae,Cyanobacteriota,1,0,0
Glycomycetaceae,Glycomycetales,Actinomycetes,Actinomycetota,29,25,0.8620689655172413
Gomontiellaceae,Gomontiellales,Cyanophyceae,Cyanobacteriota,1,0,0
Gordoniaceae,Mycobacteriales,Actinomycetes,Actinomycetota,56,0,0
Gottschalkiaceae,Tissierellales,Tissierellia,Bacillota,3,0,0
Govaniaceae,Emcibacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Granulosicoccaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Hafniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,9,0,0
Hahellaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,4,0,0
Halanaerobiaceae,Halanaerobiales,Clostridia,Bacillota,8,0,0
Halarsenatibacteraceae,Halanaerobiales,Clostridia,Bacillota,2,0,0
Halieaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,23,0,0
Haliovirgaceae,Fusobacteriales,Fusobacteriia,Fusobacteriota,1,0,0
Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidota,5,0,0
Halobacteriovoraceae,Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,2,0,0
Halobacteroidaceae,Halanaerobiales,Clostridia,Bacillota,11,0,0
Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,181,0,0
Haloplasmataceae,Haloplasmatales,Mollicutes,Mycoplasmatota,1,0,0
Halothecacae,Chroococcales,Cyanophyceae,Cyanobacteriota,1,0,0
Halothermotrichaceae,Halanaerobiales,Clostridia,Bacillota,1,0,0
Halothiobacillaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Hapalosiphonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,4,0,0
Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,59,6,0.1016949152542373
Heliobacteriaceae,Eubacteriales,Clostridia,Bacillota,8,1,0.125
Hippeaceae,Desulfurellales,Desulfurellia,Campylobacterota,3,0,0
Holophagaceae,Holophagales,Holophagae,Acidobacteriota,15,0,0
Holosporaceae,Holosporales,Alphaproteobacteria,Pseudomonadota,4,4,1
Hoyosellaceae,Mycobacteriales,Actinomycetes,Actinomycetota,6,0,0
Hydrococcaceae,Pleurocapsales,Cyanophyceae,Cyanobacteriota,1,0,0
Hydrogenimonadaceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,4,0,0
Hydrogenophilaceae,Hydrogenophilales,Hydrogenophilia,Pseudomonadota,7,0,0
Hydrogenothermaceae,Aquificales,Aquificia,Aquificota,8,0,0
Hyellaceae,Pleurocapsales,Cyanophyceae,Cyanobacteriota,2,0,0
Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidota,167,0,0
Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,24,0,0
Hyphomonadaceae,Hyphomonadales,Alphaproteobacteria,Pseudomonadota,25,5,0.2
Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,5,1,0.2
Ichthyobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Idiomarinaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,47,0,0
Ignatzschineriaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,8,0,0
Ignavibacteriaceae,Ignavibacteriales,Ignavibacteria,Ignavibacteriota,1,0,0
Ilumatobacteraceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,4,4,1
Immundisolibacteraceae,Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Intestinicryptomonaceae,Opitutales,Opitutia,Verrucomicrobiota,1,0,0
Intrasporangiaceae,Micrococcales,Actinomycetes,Actinomycetota,70,3,0.04285714285714286
Iodidimonadaceae,Iodidimonadales,Alphaproteobacteria,Pseudomonadota,3,0,0
Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetota,12,12,1
Jatrophihabitantaceae,Jatrophihabitantales,Actinomycetes,Actinomycetota,4,0,0
Jiangellaceae,Jiangellales,Actinomycetes,Actinomycetota,18,2,0.1111111111111111
Jonesiaceae,Micrococcales,Actinomycetes,Actinomycetota,6,0,0
Kaistiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,13,0,0
Kallotenuaceae,Kallotenuales,Chloroflexia,Chloroflexota,1,0,0
Kangiellaceae,Kangiellales,Gammaproteobacteria,Pseudomonadota,10,0,0
Ketobacteraceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Kiloniellaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,8,0,0
Kineosporiaceae,Kineosporiales,Actinomycetes,Actinomycetota,26,0,0
Kiritimatiellaceae,Kiritimatiellales,Kiritimatiellia,Kiritimatiellota,1,0,0
Kofleriaceae,Haliangiales,NA,Myxococcota,1,0,0
Koleobacteraceae,Koleobacterales,Clostridia,Bacillota,1,0,0
Kordiimonadaceae,Kordiimonadales,Alphaproteobacteria,Pseudomonadota,11,0,0
Kosmotogaceae,Kosmotogales,Thermotogae,Thermotogota,5,0,0
Kribbellaceae,Propionibacteriales,Actinomycetes,Actinomycetota,37,0,0
Kribbibacteriaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,3,3,1
Kytococcaceae,Micrococcales,Actinomycetes,Actinomycetota,3,0,0
Labilitrichaceae,Polyangiales,NA,Myxococcota,1,0,0
Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,222,1,0.0045045045045045045
Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,14,14,1
Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,415,2,0.004819277108433735
Laspinemataceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,2,0,0
Lawsonellaceae,Mycobacteriales,Actinomycetes,Actinomycetota,1,0,0
Leadbetterellaceae,Cytophagales,Cytophagia,Bacteroidota,12,0,0
Leeiaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,3,0,0
Legionellaceae,Legionellales,Gammaproteobacteria,Pseudomonadota,67,0,0
Lentimicrobiaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Lentisphaeraceae,Lentisphaerales,Lentisphaeria,Lentisphaerota,3,3,1
Leptolyngbyaceae,Leptolyngbyales,Cyanophyceae,Cyanobacteriota,12,0,0
Leptospiraceae,Leptospirales,Spirochaetia,Spirochaetota,75,0,0
Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteriota,22,0,0
Lewinellaceae,Saprospirales,Saprospiria,Bacteroidota,12,0,0
Lichenihabitantaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,5,1,0.2
Limisphaeraceae,Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,1,0,0
Limnochordaceae,Limnochordales,Limnochordia,Bacillota,1,0,0
Listeriaceae,Bacillales,Bacilli,Bacillota,30,2,0.06666666666666667
Litorivicinaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Longimicrobiaceae,Longimicrobiales,Longimicrobiia,Gemmatimonadota,1,0,0
Lujinxingiaceae,Bradymonadales,Deltaproteobacteria,NA,3,0,0
Lusitaniellaceae,Spirulinales,Cyanophyceae,Cyanobacteriota,1,0,0
Luteibaculaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Lutisporaceae,Lutisporales,Clostridia,Bacillota,2,0,0
Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,234,1,0.004273504273504274
Magnetococcaceae,Magnetococcales,Magnetococcia,Pseudomonadota,2,0,0
Magnetospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,5,0,0
Magnetovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Maliibacteriaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Mangrovivirgaceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Maricaulaceae,Maricaulales,Alphaproteobacteria,Pseudomonadota,19,0,0
Marinifilaceae,Marinilabiliales,Bacteroidia,Bacteroidota,13,0,0
Marinilabiliaceae,Marinilabiliales,Bacteroidia,Bacteroidota,21,0,0
Marinobacteraceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,73,0,0
Mariprofundaceae,Mariprofundales,Zetaproteobacteria,Pseudomonadota,5,0,0
Marivirgaceae,Cytophagales,Cytophagia,Bacteroidota,8,0,0
Melioribacteraceae,Ignavibacteriales,Ignavibacteria,Ignavibacteriota,4,0,0
Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,2,0,0
Mesoaciditogaceae,Mesoaciditogales,Thermotogae,Thermotogota,2,0,0
Metamycoplasmataceae,Mycoplasmoidales,Mollicutes,Mycoplasmatota,19,0,0
Metamycoplasmataceae,Mycoplasmoidales,NA,Mycoplasmatota,10,0,0
Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,107,0,0
Methylococcaceae,Methylococcales,Gammaproteobacteria,Pseudomonadota,43,0,0
Methylocystaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,12,0,0
Methylohalomonadaceae,Methylohalomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,23,0,0
Methylopilaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,10,0,0
Methylothermaceae,Methylococcales,Gammaproteobacteria,Pseudomonadota,3,0,0
Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,451,0,0
Microbulbiferaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,31,0,0
Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,241,6,0.024896265560165973
Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,16,0,0
Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteriota,5,0,0
Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,265,1,0.0037735849056603774
Micropepsaceae,Micropepsales,Alphaproteobacteria,Pseudomonadota,2,0,0
Microscillaceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Microvenatoraceae,Bradymonadales,Deltaproteobacteria,NA,1,0,0
Miltoncostaeaceae,Miltoncostaeales,Thermoleophilia,Actinomycetota,2,2,1
Minwuiaceae,Minwuiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Monoglobaceae,Monoglobales,Clostridia,Bacillota,1,0,0
Moorellaceae,Moorellales,Clostridia,Bacillota,7,0,0
Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,171,0,0
Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,96,0,0
Moritellaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,4,0,0
Motilibacteraceae,Motilibacterales,Actinomycetes,Actinomycetota,4,0,0
Mucispirillaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,1,1
Muribaculaceae,Bacteroidales,Bacteroidia,Bacteroidota,12,0,0
Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,237,2,0.008438818565400843
Mycoplasmataceae,Mycoplasmatales,Mollicutes,Mycoplasmatota,21,0,0
Mycoplasmoidaceae,Mycoplasmoidales,NA,Mycoplasmatota,3,0,0
Myxococcaceae,Myxococcales,Myxococcia,Myxococcota,32,0,0
Nakamurellaceae,Nakamurellales,Actinomycetes,Actinomycetota,11,0,0
Nannocystaceae,Nannocystales,NA,Myxococcota,7,0,0
Natranaerobiaceae,Natranaerobiales,Clostridia,Bacillota,2,0,0
Natranaerofabaceae,Natranaerobiales,Clostridia,Bacillota,1,0,0
Natranaerovirgaceae,Lachnospirales,Clostridia,Bacillota,2,0,0
Natronincolaceae,Peptostreptococcales,Clostridia,Bacillota,11,0,0
Natronospiraceae,Natronospirales,Gammaproteobacteria,Pseudomonadota,3,0,0
Natronospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Nautiliaceae,Nautiliales,Epsilonproteobacteria,Campylobacterota,4,0,0
Neisseriaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,78,0,0
Neomegalonemataceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Neosynechococcaceae,Neosynechococcales,Cyanophyceae,Cyanobacteriota,1,0,0
Nevskiaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,19,0,0
Nitratiruptoraceae,Nautiliales,Epsilonproteobacteria,Campylobacterota,4,0,0
Nitriliruptoraceae,Nitriliruptorales,Nitriliruptoria,Actinomycetota,1,0,0
Nitrobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,103,1,0.009708737864077669
Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,16,1,0.0625
Nitrospinaceae,Nitrospinales,Nitrospinia,Nitrospinota,2,0,0
Nitrospiraceae,Nitrospirales,Nitrospiria,Nitrospirota,7,0,0
Nocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,186,1,0.005376344086021506
Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,187,3,0.016042780748663103
Nocardiopsidaceae,Streptosporangiales,Actinomycetes,Actinomycetota,67,3,0.04477611940298507
Nodosilineaceae,Nodosilineales,Cyanophyceae,Cyanobacteriota,4,0,0
Nodulariaceae,Nostocales,Cyanophyceae,Cyanobacteriota,11,0,0
Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,29,0,0
Notoacmeibacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Novispirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,5,0,0
Oceanibaculaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,3,0,0
Oceanipulchritudinaceae,Puniceicoccales,Opitutia,Verrucomicrobiota,1,0,0
Oceanococcaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,116,0,0
Oculatellaceae,Oculatellales,Cyanophyceae,Cyanobacteriota,3,0,0
Odoribacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,10,0,0
Oleiphilaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Oleispirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Oligoflexaceae,Oligoflexales,Oligoflexia,Bdellovibrionota,1,0,0
Oligosphaeraceae,Oligosphaerales,Oligosphaeria,Lentisphaerota,1,1,1
Opitutaceae,Opitutales,Opitutia,Verrucomicrobiota,13,0,0
Orbaceae,Orbales,Gammaproteobacteria,Pseudomonadota,15,0,0
Ornithinimicrobiaceae,Micrococcales,Actinomycetes,Actinomycetota,20,0,0
Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,12,0,0
Oscillospiraceae,Eubacteriales,Clostridia,Bacillota,90,1,0.011111111111111112
Ostreibacteriaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,1,0,0
Owenweeksiaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,184,0,0
Paenibacillaceae,Bacillales,Bacilli,Bacillota,400,65,0.1625
Paludibacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,2,0,0
Parachlamydiaceae,Parachlamydiales,Chlamydiia,Chlamydiota,1,0,0
Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,404,0,0
Paraconexibacteraceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,2,0,0
Parvibaculaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,6,0,0
Parvicellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Parvularculaceae,Parvularculales,Alphaproteobacteria,Pseudomonadota,15,0,0
Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,99,1,0.010101010101010102
Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,5,0,0
Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,57,0,0
Pelagicoccaceae,Puniceicoccales,Opitutia,Verrucomicrobiota,3,0,0
Pendulisporaceae,Myxococcales,Myxococcia,Myxococcota,3,0,0
Peptoclostridiaceae,Peptostreptococcales,Clostridia,Bacillota,2,0,0
Peptococcaceae,Eubacteriales,Clostridia,Bacillota,26,2,0.07692307692307693
Peptoniphilaceae,Tissierellales,Tissierellia,Bacillota,74,3,0.04054054054054054
Peptostreptococcaceae,Peptostreptococcales,Clostridia,Bacillota,40,0,0
