family,order,class,phylum,n,n_res,f_res
Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Bacillota,1,0,0
Thermoanaerobacterales Family IV. Incertae Sedis,Thermoanaerobacterales,Clostridia,Bacillota,1,0,0
Thermoanaerobaculaceae,Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,1,0,0
Thermodesulfatatoraceae,Thermodesulfobacteriales,Thermodesulfobacteria,Thermodesulfobacteriota,3,0,0
Thermodesulfobacteriaceae,Thermodesulfobacteriales,Thermodesulfobacteria,Thermodesulfobacteriota,9,6,0.6666666666666666
Thermodesulfobiaceae,Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,2,0,0
Thermodesulforhabdaceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,1,0,0
Thermodesulfovibrionaceae,Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,6,0,0
Thermoflexibacteraceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Thermoguttaceae,Pirellulales,Planctomycetia,Planctomycetota,1,1,1
Thermohalobacteraceae,Tissierellales,Tissierellia,Bacillota,6,0,0
Thermoleophilaceae,Thermoleophilales,Thermoleophilia,Actinomycetota,1,0,0
Thermomicrobiaceae,Thermomicrobiales,Thermomicrobia,Thermomicrobiota,1,0,0
Thermomonosporaceae,Streptosporangiales,Actinomycetes,Actinomycetota,92,0,0
Thermonemataceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Thermosediminibacteraceae,Thermosediminibacterales,Clostridia,Bacillota,5,0,0
Thermospiraceae,Brevinematales,Spirochaetia,Spirochaetota,1,0,0
Thermostichaceae,Thermostichales,Cyanophyceae,Cyanobacteriota,1,0,0
Thermosulfidibacteraceae,Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,1,0,0
Thermosynechococcaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,4,0,0
Thermotaleaceae,Peptostreptococcales,Clostridia,Bacillota,7,0,0
Thermotogaceae,Thermotogales,Thermotogae,Thermotogota,9,0,0
Thermotomaculaceae,Thermotomaculales,Holophagae,Acidobacteriota,1,0,0
Thermovirgaceae,Synergistales,Synergistia,Synergistota,1,0,0
Thioalkalibacteraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiobacillaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,5,0,0
Thiobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Thiofilaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalobacteraceae,Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalomonadaceae,Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiohalophilaceae,Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalorhabdaceae,Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiohalospiraceae,Thiohalospirales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiolinaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiotrichaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,15,0,0
Thiovibrionaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Thorselliaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Tichowtungiaceae,Tichowtungiales,Tichowtungiia,Kiritimatiellota,1,0,0
Tindalliaceae,Peptostreptococcales,Clostridia,Bacillota,2,0,0
Tissierellaceae,Tissierellales,Tissierellia,Bacillota,8,0,0
Tolypothrichaceae,Nostocales,Cyanophyceae,Cyanobacteriota,4,0,0
Treboniaceae,Streptosporangiales,Actinomycetes,Actinomycetota,1,1,1
Treponemataceae,Spirochaetales,Spirochaetia,Spirochaetota,27,0,0
Trichocoleusaceae,Leptolyngbyales,Cyanophyceae,Cyanobacteriota,2,0,0
Tropherymataceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Trueperaceae,Trueperales,Deinococci,Deinococcota,1,0,0
Tsukamurellaceae,Mycobacteriales,Actinomycetes,Actinomycetota,12,0,0
Turicibacteraceae,Erysipelotrichales,Erysipelotrichia,Bacillota,3,0,0
Usitatibacteraceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,2,0,0
Vallicoccaceae,Motilibacterales,Actinomycetes,Actinomycetota,1,0,0
Vallitaleaceae,Lachnospirales,Clostridia,Bacillota,5,0,0
Veillonellaceae,Veillonellales,Negativicutes,Bacillota,46,0,0
Ventosimonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,31,0,0
Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,226,0,0
Vicinamibacteraceae,Vicinamibacterales,Vicinamibacteria,Acidobacteriota,1,0,0
Vicingaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Victivallaceae,Victivallales,Lentisphaeria,Lentisphaerota,2,2,1
Vulgatibacteraceae,Myxococcales,Myxococcia,Myxococcota,1,0,0
Waddliaceae,Parachlamydiales,Chlamydiia,Chlamydiota,1,0,0
Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,198,0,0
Wenzhouxiangellaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,5,0,0
Williamwhitmaniaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Winmispiraceae,Winmispirales,Spirochaetia,Spirochaetota,1,0,0
Woeseiaceae,Woeseiales,Gammaproteobacteria,Pseudomonadota,4,0,0
Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,39,0,0
Xylanivirgaceae,Caldicoprobacterales,Clostridia,Bacillota,1,1,1
Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,76,0,0
Zavarziniaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,3,0,0
Zhaonellaceae,Moorellales,Clostridia,Bacillota,1,0,0
Zoogloeaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,35,0,0
Zooshikellaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,5,0,0
Zymomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,1,1,1
NA,Alteromonadales,Gammaproteobacteria,Pseudomonadota,3,0,0
NA,Bacillales,Bacilli,Bacillota,19,0,0
NA,Burkholderiales,Betaproteobacteria,Pseudomonadota,26,0,0
NA,Cytophagales,Cytophagia,Bacteroidota,1,0,0
NA,Entomoplasmatales,Mollicutes,Mycoplasmatota,3,0,0
NA,Eubacteriales,Clostridia,Bacillota,15,0,0
NA,Halanaerobiales,Clostridia,Bacillota,1,0,0
NA,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,6,0,0
NA,Lactobacillales,Bacilli,Bacillota,1,0,0
NA,Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,1,0,0
NA,Mariprofundales,Zetaproteobacteria,Pseudomonadota,1,0,0
NA,Micrococcales,Actinomycetes,Actinomycetota,7,0,0
NA,Mycobacteriales,Actinomycetes,Actinomycetota,6,0,0
NA,Myxococcales,Myxococcia,Myxococcota,1,0,0
NA,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,2,0,0
NA,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,15,0,0
NA,Rickettsiales,Alphaproteobacteria,Pseudomonadota,1,0,0
NA,Silvanigrellales,Oligoflexia,Bdellovibrionota,1,0,0
NA,Streptosporangiales,Actinomycetes,Actinomycetota,1,0,0
NA,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
NA,NA,Betaproteobacteria,Pseudomonadota,1,0,0
NA,NA,Clostridia,Bacillota,1,0,0
NA,NA,Deltaproteobacteria,NA,1,0,0
NA,NA,Gammaproteobacteria,Pseudomonadota,8,0,0
NA,NA,Hydrogenophilia,Pseudomonadota,1,0,0
NA,NA,Planctomycetia,Planctomycetota,4,4,1
NA,NA,Tissierellia,Bacillota,7,0,0
NA,NA,NA,Bacillota,4,0,0
NA,NA,NA,Cyanobacteriota,1,0,0
NA,NA,NA,Verrucomicrobiota,2,0,0
NA,NA,NA,NA,471,34,0.07218683651804671
