order,class,phylum,n,n_res,f_res
Thermodesulfobacteriales,Thermodesulfobacteria,Thermodesulfobacteriota,12,6,0.5
Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,2,0,0
Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,7,0,0
Thermoleophilales,Thermoleophilia,Actinomycetota,1,0,0
Thermosediminibacterales,Clostridia,Bacillota,8,0,0
Thermostichales,Cyanophyceae,Cyanobacteriota,1,0,0
Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,1,0,0
Thermotogales,Thermotogae,Thermotogota,13,0,0
Thermotomaculales,Holophagae,Acidobacteriota,1,0,0
Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,3,0,0
Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiohalospirales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiotrichales,Gammaproteobacteria,Pseudomonadota,79,0,0
Tichowtungiales,Tichowtungiia,Kiritimatiellota,1,0,0
Veillonellales,Negativicutes,Bacillota,46,0,0
Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,22,1,0.045454545454545456
Vibrionales,Gammaproteobacteria,Pseudomonadota,226,0,0
Vicinamibacterales,Vicinamibacteria,Acidobacteriota,1,0,0
Winmispirales,Spirochaetia,Spirochaetota,1,0,0
Woeseiales,Gammaproteobacteria,Pseudomonadota,4,0,0
NA,Betaproteobacteria,Pseudomonadota,2,0,0
NA,Deltaproteobacteria,NA,2,0,0
NA,Gammaproteobacteria,Pseudomonadota,12,0,0
NA,Hydrogenophilia,Pseudomonadota,1,0,0
NA,Negativicutes,Bacillota,3,0,0
NA,Planctomycetia,Planctomycetota,4,4,1
NA,NA,Cyanobacteriota,1,0,0
NA,NA,NA,371,14,0.03773584905660377
