order,class,phylum,gene,n,n_res,f_res
Thiotrichales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,14,0,0
Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,96,0,0
Tistrellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Treponematales,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,30,0,0
Tumebacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,5,0,0
Turneriellales,Leptospiria,Spirochaetota,rrs_MG1655_2ndrun,1,0,0
UBA10575,UBA4882,Bacillota,rrs_MG1655_2ndrun,1,0,0
UBA1381,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
UBA6429,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
UBA8366,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
UMGS1810,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Veillonellales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,35,0,0
Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,37,0,0
Vicinamibacterales,Vicinamibacteria,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Victivallales,Lentisphaeria,Verrucomicrobiota,rrs_MG1655_2ndrun,1,0,0
Vulcanimicrobiales,Vulcanimicrobiia,Vulcanimicrobiota,rrs_MG1655_2ndrun,1,0,0
WRBN01,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,3,0,0
Woeseiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,333,0,0
Zavarziniales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
NA,NA,NA,rrs_MG1655_2ndrun,1623,0,0
