order,class,phylum,gene,n,n_res,f_res
DSM-100275,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-13327,Negativicutes,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-16000,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
DSM-16054,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,2,0,0
DSM-16500,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
DSM-1736,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-19610,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-22679,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
DSM-26407,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
DSM-27196,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,3,0,0
DSM-28697,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
DSM-8532,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
DUOV01,DUOV01,Bacillota,rrs_MG1655_2ndrun,1,0,0
DY22613,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Deferribacterales,Deferribacteres,Chrysiogenota,rrs_MG1655_2ndrun,13,0,0
Deferrisomatales,Deferrisomatia,Desulfobacterota_C,rrs_MG1655_2ndrun,1,0,0
Dehalobacteriales,Dehalobacteriia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dehalococcoidales,Dehalococcoidia,Chloroflexota,rrs_MG1655_2ndrun,4,0,0
Deinococcales,Deinococci,Deinococcota,rrs_MG1655_2ndrun,108,0,0
Desulfarculales,Desulfarculia,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Desulfatiglandales,DSM-4660,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfitibacterales,DSM-16504,Bacillota,rrs_MG1655_2ndrun,1,0,0
Desulfitobacteriales,Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,17,0,0
Desulfobaccales,Desulfobaccia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfobacterales,Desulfobacteria,Desulfobacterota,rrs_MG1655_2ndrun,30,0,0
