genus,family,order,class,phylum,gene,n,n_res,f_res
Lunatimonas,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
Luoshenia,GCA-900066905,Christensenellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Lusitaniella,Spirulinaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Luteibacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,10,0,0
Luteibaculum,Luteibaculaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Luteimicrobium,Cellulomonadaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Luteimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,36,0,0
Luteipulveratus,Dermatophilaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Luteirhabdus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Luteitalea,Vicinamibacteraceae,Vicinamibacterales,Vicinamibacteria,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Luteithermobacter,Emcibacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Luteococcus,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Luteolibacter,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,10,0,0
Lutibacter,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,10,0,0
Lutibaculum,Tepidamorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Lutimaribacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Lutimonas,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,4,0,0
Lutispora,Lutisporaceae,Lutisporales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Luxibacter,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Lwoffella,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Lyngbya,Thermosynechococcaceae,Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Lysinibacillus,Planococcaceae,Bacillales_A,Bacilli,Bacillota,rrs_MG1655_2ndrun,23,0,0
Lysinibacter,Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Lysinimonas,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,24,0,0
Lyticum,Midichloriaceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Maccoyibacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Macellibacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Macrococcoides,Staphylococcaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,4,0,0
Macrococcus,Staphylococcaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,9,0,0
Macromonas,NA,NA,NA,NA,rrs_MG1655_2ndrun,2,0,0
Mageeibacillus,Fastidiosipilaceae,Saccharofermentanales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Magnetococcus,Magnetococcaceae,Magnetococcales,Magnetococcia,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Magnetofaba,Magnetococcaceae,Magnetococcales,Magnetococcia,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Magnetospirillum,Magnetospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Magnetovibrio,Magnetovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Magnetovirga,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mahella,Mahellaceae,Mahellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mailhella,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,1,0,0
Maioricimonas,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,1,0,0
Malaciobacter,Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,6,0,0
Malacoplasma,Mycoplasmoidaceae,Mycoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Maledivibacter,Caminicellaceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Malikia,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Maliponia,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mameliella,NA,NA,NA,NA,rrs_MG1655_2ndrun,2,0,0
Mammaliicoccus,Staphylococcaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,4,0,0
Manganibacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
