genus,family,order,class,phylum,gene,n,n_res,f_res
Abditibacterium,Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Abiotrophia,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Abyssibacter,OUC007,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Abyssibius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Abyssicoccus,Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Abyssisolibacter,MCWD3,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Abyssogena,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acaricomes,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Acaryochloris,Thermosynechococcaceae,Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,2,0,0
Acetatifactor,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Aceticella,Thermoanaerobacteraceae,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetitomaculum,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetivibrio,Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
Acetoanaerobium,Filifactoraceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,35,0,0
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,rrs_MG1655_2ndrun,8,0,0
Acetobacteroides,ZOR0009,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Acetohalobium,Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acetomicrobium,Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,rrs_MG1655_2ndrun,3,0,0
Acetonema,Acetonemataceae,Sporomusales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,6,0,0
Achromobacter,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,22,0,0
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,6,0,0
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,3,0,0
Acididesulfobacillus,Desulfitobacteriaceae,Desulfitobacteriales,Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidihalobacter,Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Acidilutibacter,Acidilutibacteraceae,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidiphilium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Acidipila,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidisoma,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aciditerrimonas,UBA8190,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,15,0,0
Acidithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Acidocella,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Acidomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Acidothermus,Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Acidovorax,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,11,0,0
Aciduricibacillus,Amphibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,90,0,0
Acrocarpospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Actinacidiphila,Streptomycetaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,11,0,0
Actinoallomurus,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,8,0,0
Actinoalloteichus,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Actinobacillus,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,15,0,0
Actinobaculum,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Actinocatenispora,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Actinocorallia,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Actinocrinis,Catenulisporaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinocrispum,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinokineospora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,14,0,0
Actinomadura,NA,NA,NA,NA,rrs_MG1655_2ndrun,55,0,0
Actinomarinicola,SKKL01,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,43,0,0
Actinomycetospora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,16,0,0
Actinophytocola,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Actinoplanes,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,30,0,0
Actinopolymorpha,Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,4,0,0
Actinopolyspora,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,7,0,0
Actinorhabdospora,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinorugispora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Actinospica,Catenulisporaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Actinosynnema,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Actinotalea,Cellulomonadaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,6,0,0
Actinotignum,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Actirhodobacter,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Actomonas,Opitutaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,1,0,0
Acutalibacter,Acutalibacteraceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Acuticoccus,Amorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Adhaeretor,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,1,0,0
Adhaeribacter,Hymenobacteraceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,9,0,0
Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rrs_MG1655_2ndrun,9,0,0
Adonisia,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Advenella,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Aedoeadaptatus,Peptoniphilaceae,Tissierellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,6,0,0
Aegicerativicinus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Aeoliella,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,2,0,0
Aequitasia,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Aequoribacter,Halieaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aequorivita,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,21,0,0
Aeribacillus,Aeribacillaceae,Bacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Aeriscardovia,Bifidobacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Aerobium,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,9,0,0
Aerolutibacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,23,0,0
Aeromonas,Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,30,0,0
Aerophototrophica,Azospirillaceae,Azospirillales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aerosakkonema,Aerosakkonemataceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Aerosticca,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aestuarierythrobacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Aestuariibaculum,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,4,0,0
Aestuariibius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aestuariimicrobium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Aestuariirhabdus,Aestuariirhabdaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aestuariispira,GCA-2696645,UBA8366,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aestuariivirga,Aestuariivirgaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aestuariivita,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aestuariivivens,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,4,0,0
Aetokthonos,Nostocaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Affinibrenneria,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Afifella,Afifellaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Afipia,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Agaribacillus,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Agaribacterium,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Agaricicola,Methylopilaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Agarilytica,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Agarivorans,Celerinatantimonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Agathobacter,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Agathobaculum,Butyricicoccaceae,Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,4,0,0
Aggregatibacter,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Aggregatilinea,Aggregatilineaceae,Aggregatilineales,Anaerolineae,Chloroflexota,rrs_MG1655_2ndrun,1,0,0
Aggregatimonas,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Agitococcus,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Agreia,Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Agrilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Agrilutibacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Agriterribacter,Chitinophagaceae,Chitinophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,19,0,0
Agrococcus,Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,12,0,0
Agromyces,Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,40,0,0
Ahniella,Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Ahrensia,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aidingimonas,Halomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,4,0,0
Albibacillus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Albibacterium,Sphingobacteriaceae,Sphingobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Albidovulum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,9,0,0
Albimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Alcaligenes,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
Alcanivorax,Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
Aldersonia,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Alexandriicola,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algibacillus,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algibacter,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,10,0,0
Algicella,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algihabitans,DSM-21159,Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algimonas,NA,NA,NA,NA,rrs_MG1655_2ndrun,3,0,0
Alginatibacterium,Celerinatantimonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algiphilus,Algiphilaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Algirhabdus,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Algisphaera,Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetota,rrs_MG1655_2ndrun,1,0,0
Algoriella,Weeksellaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Algoriphagus,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,40,0,0
Aliamphritea,NA,NA,NA,NA,rrs_MG1655_2ndrun,3,0,0
Aliarcobacter,Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,9,0,0
Alicycliphilus,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Alicyclobacillus,Alicyclobacillaceae,Alicyclobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,16,0,0
Alienimonas,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,2,0,0
Aliibacillus,Marinococcaceae,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Aliidiomarina,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,11,0,0
Aliidongia,CGMCC-115725,ATCC43930,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aliigemmobacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Aliiglaciecola,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aliihoeflea,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aliikangiella,Kangiellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Aliirhizobium,NA,NA,NA,NA,rrs_MG1655_2ndrun,3,0,0
Aliiroseovarius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,11,0,0
Aliiruegeria,NA,NA,NA,NA,rrs_MG1655_2ndrun,3,0,0
Aliisedimentitalea,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Aliishimia,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Aliivibrio,Vibrionaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Alishewanella,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,16,0,0
Alitabrizicola,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Aliterella,Chroococcidiopsidaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Alkalibacillus,Alkalibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Alkalibacter,Alkalibacteraceae,Eubacteriales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Alkalibacterium,Carnobacteriaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,7,0,0
Alkalibaculum,Alkalibacteraceae,Eubacteriales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Alkalicaulis,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Alkalicella,Proteinivoraceae,Proteinivoracales,Proteinivoracia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Alkalicoccobacillus,Bacillaceae_D,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Alkalicoccus,Salisediminibacteriaceae,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Alkalidesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,1,0,0
Alkaliflexus,Marinilabiliaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Alkalihalobacillus,Bacillaceae_D,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Alkalihalobacterium,Bacillaceae_F,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,5,0,0
Alkalihalophilus,Bacillaceae_D,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Alkalilacustris,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Alkalilimnicola,Halorhodospiraceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Alkalimarinus,Oleiphilaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Alkalimonas,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Alkaliphilus,Natronincolaceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,5,0,0
Alkalisalibacterium,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Alkalispirillum,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Alkalispirochaeta,Alkalispirochaetaceae,DSM-27196,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,2,0,0
Alkalitalea,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Alkalithermobacter,Peptostreptococcaceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Alkanindiges,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Allgaiera,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Allisonella,Dialisteraceae,Veillonellales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Alloacidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Alloalcanivorax,Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,8,0,0
Allobacillus,Alkalibacillaceae,Bacillales_D,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Allobaculum,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Allobranchiibius,Dermatophilaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Allocatelliglobosispora,Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Allochromatium,NA,NA,NA,NA,rrs_MG1655_2ndrun,5,0,0
Allocoleopsis,Coleofasciculaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Allocoprobacillus,Coprobacillaceae,Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Allofrancisella,Francisellaceae,Francisellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Allofranklinella,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Allofustis,Carnobacteriaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Allohahella,Oleiphilaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Alloiococcus,Carnobacteriaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Allokutzneria,Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Allomeiothermus,Thermaceae,Deinococcales,Deinococci,Deinococcota,rrs_MG1655_2ndrun,1,0,0
Allomesorhizobium,NA,NA,NA,NA,rrs_MG1655_2ndrun,2,0,0
Allonocardiopsis,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Allopontixanthobacter,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
