genus,family,order,class,phylum,gene,n,n_res,f_res
Parasphingorhabdus,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,5,0,0
Parasporobacterium,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs,1,0,0
Parasulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,1,1
Parasulfuritortus,Thiobacillaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,rrs,1,1,1
Parasutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,1,1,1
Parasynechococcus,Prochlorococcaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,rrs,1,0,0
Parathalassolituus,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Parathermosynechococcus,Thermosynechococcaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,rrs,1,0,0
Paraurantiacibacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Parazoarcus,Zoogloeaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,rrs,1,0,0
Paremcibacter,Emcibacteraceae,Emcibacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Parerythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,5,0,0
Pareuzebyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Parvibacter,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,rrs,1,1,1
Parvibaculum,Parvibaculaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Parvibium,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,1,1,1
Parvicella,Parvicellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Parvimonas,Peptoniphilaceae,Tissierellales,Tissierellia,Bacillota,rrs,1,1,1
Parvivirga,Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,rrs,1,0,0
Parvularcula,Parvularculaceae,Parvularculales,Alphaproteobacteria,Pseudomonadota,rrs,6,0,0
Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,rrs,8,3,0.375
Pasteuria,Pasteuriaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Patiriisocius,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,2,2,1
Patulibacter,Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,rrs,2,1,0.5
Paucidesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,rrs,1,0,0
Paucilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs,5,3,0.6
Paucimonas,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,1,0,0
Pauljensenia,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs,1,0,0
Pectinatus,Selenomonadaceae,Selenomonadales,Negativicutes,Bacillota,rrs,2,0,0
Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,19,6,0.3157894736842105
Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs,7,0,0
Pedobacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidota,rrs,7,0,0
Pedococcus,Intrasporangiaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,5,1,0.2
Pedomonas,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Peiella,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pelagerythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Pelagibacterium,Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,10,0,0
Pelagibius,Rhodovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pelagicoccus,Pelagicoccaceae,Puniceicoccales,Opitutia,Verrucomicrobiota,rrs,3,0,0
Pelagihabitans,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Pelagimonas,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pelagirhabdus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Pelagivirga,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pelagovum,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pelistega,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,3,3,1
Pelobacter,Desulfuromonadaceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,rrs,2,0,0
Pelodictyon,Chlorobiaceae,Chlorobiales,Chlorobiia,Chlorobiota,rrs,1,1,1
Pelomicrobium,NA,NA,Hydrogenophilia,Pseudomonadota,rrs,1,0,0
Pelomonas,NA,NA,NA,NA,rrs,3,0,0
Peloplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Mycoplasmatota,rrs,1,0,0
Pelosinus,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,rrs,2,2,1
Pelotalea,Geobacteraceae,Geobacterales,Desulfuromonadia,Thermodesulfobacteriota,rrs,1,0,0
Pelotomaculum,Desulfotomaculaceae,Eubacteriales,Clostridia,Bacillota,rrs,2,2,1
Pelovirga,Geobacteraceae,Geobacterales,Desulfuromonadia,Thermodesulfobacteriota,rrs,1,0,0
Penaeicola,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,rrs,1,0,0
Pendulispora,Pendulisporaceae,Myxococcales,Myxococcia,Myxococcota,rrs,3,0,0
Pengzhenrongella,NA,Micrococcales,Actinomycetes,Actinomycetota,rrs,3,2,0.6666666666666666
Peptacetobacter,Peptostreptococcaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,2,1,0.5
Peptoclostridium,Peptoclostridiaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,2,2,1
Peptoniphilus,Peptoniphilaceae,Tissierellales,Tissierellia,Bacillota,rrs,19,9,0.47368421052631576
Peptostreptococcus,Peptostreptococcaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,4,2,0.5
Peredibacter,Bacteriovoracaceae,Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rrs,1,1,1
Peribacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,14,0,0
Periweissella,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,rrs,5,1,0.2
Perlabentimonas,Tenuifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,1,0,0
Permianibacter,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
Persicimonas,Bradymonadaceae,Bradymonadales,Deltaproteobacteria,NA,rrs,1,0,0
Persicitalea,Spirosomataceae,Cytophagales,Cytophagia,Bacteroidota,rrs,1,1,1
Perspicuibacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Peterkaempfera,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,rrs,3,3,1
Peteryoungia,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Petralouisia,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs,1,0,0
Petrimonas,Dysgonomonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,1,1,1
Petrocella,Vallitaleaceae,Lachnospirales,Clostridia,Bacillota,rrs,1,0,0
Petroclostridium,Oscillospiraceae,Eubacteriales,Clostridia,Bacillota,rrs,1,1,1
Petropleomorpha,Geodermatophilaceae,Geodermatophilales,Actinomycetes,Actinomycetota,rrs,1,1,1
Petrotoga,Petrotogaceae,Petrotogales,Thermotogae,Thermotogota,rrs,3,3,1
Phaeacidiphilus,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,rrs,1,0,0
Phaeobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,5,0,0
Phaeocystidibacter,Phaeocystidibacteraceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,1,1
Phaeodactylibacter,Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidota,rrs,2,0,0
Phaeospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phaeovibrio,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phaeovulum,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phascolarctobacterium,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,rrs,1,0,0
Phenylobacterium,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs,15,0,0
Phnomibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,rrs,1,0,0
Phocaeicola,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,12,4,0.3333333333333333
Phocicoccus,Salinicoccaceae,Bacillales,Bacilli,Bacillota,rrs,1,1,1
Phocoenobacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,rrs,3,0,0
Phoenicibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,rrs,1,0,0
Phormidium,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,rrs,1,0,0
Phosphitispora,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,rrs,1,1,1
Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,rrs,15,3,0.2
Photorhabdus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,16,0,0
Phragmitibacter,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs,1,1,1
Phreatobacter,Phreatobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phycicoccus,Intrasporangiaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,8,1,0.125
Phycisphaera,Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetota,rrs,1,0,0
Phycobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phyllobacterium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,12,0,0
Phytoactinopolyspora,Jiangellaceae,Jiangellales,Actinomycetes,Actinomycetota,rrs,6,1,0.16666666666666666
Phytobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,2,0,0
Phytohabitans,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,rrs,3,1,0.3333333333333333
Phytopseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,6,0,0
Pigmentibacter,Silvanigrellaceae,Silvanigrellales,Oligoflexia,Bdellovibrionota,rrs,1,1,1
Pigmentiphaga,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,6,2,0.3333333333333333
Pilimelia,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,rrs,1,0,0
Pimelobacter,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,1,0,0
Pinirhizobacter,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
Pirellulimonas,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs,1,1,1
Piscinibacter,Sphaerotilaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,4,2,0.5
Piscinibacterium,NA,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,1,0,0
Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Planctellipticum,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs,1,0,0
