family,order,class,phylum,gene,n,n_res,f_res
Pseudoxanthobacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Psittacicellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Psychromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,11,0,0
Pumilibacteraceae,Christensenellales,Clostridia,Bacillota,rpsL,3,0,0
Puniceicoccaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rpsL,1,0,0
Pyrinomonadaceae,Pyrinomonadales,Blastocatellia,Acidobacteriota,rpsL,1,0,0
Quadrisphaeraceae,Actinomycetales,Actinomycetes,Actinomycetota,rpsL,5,0,0
Rectinemataceae,Treponematales,Spirochaetia,Spirochaetota,rpsL,1,0,0
Reyranellaceae,Reyranellales,Alphaproteobacteria,Pseudomonadota,rpsL,5,0,0
Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,445,5,0.011235955056179775
Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,89,0,0
Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,661,1,0.0015128593040847202
Rhodobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Rhodocyclaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,79,0,0
Rhodomicrobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,13,0,0
Rhodothalassiaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Rhodothermaceae,Rhodothermales,Rhodothermia,Bacteroidota_A,rpsL,3,0,0
Rhodovibrionaceae,Kiloniellales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,rpsL,1,1,1
Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rpsL,18,0,0
Rubidibacteraceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Rubricoccaceae,Rhodothermales,Rhodothermia,Bacteroidota_A,rpsL,3,0,0
Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinomycetota,rpsL,9,0,0
SCOH01,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
SG130,SG130,Negativicutes,Bacillota,rpsL,1,0,0
SKKL01,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rpsL,1,0,0
SLCJ01,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rpsL,1,0,0
SMCO01,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
ST65,Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rpsL,1,0,0
SZUA-36,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Salibacteraceae,Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,1,0,0
Salinibacteraceae,Rhodothermales,Rhodothermia,Bacteroidota_A,rpsL,7,0,0
Salinisphaeraceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rpsL,8,0,0
Salinispiraceae,DSM-27196,Spirochaetia,Spirochaetota,rpsL,1,0,0
Salinivirgaceae,Bacteroidales,Bacteroidia,Bacteroidota,rpsL,1,0,0
Sandaracinaceae,Polyangiales,Polyangia,Myxococcota,rpsL,1,0,0
Sanyastnellaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,1,0,0
Saprospiraceae,Chitinophagales,Bacteroidia,Bacteroidota,rpsL,21,0,0
Schleiferiaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,4,0,0
Sedimenticolaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,rpsL,5,0,0
Sedimentisphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,rpsL,1,1,1
Sediminispirochaetaceae,DSM-16054,Spirochaetia,Spirochaetota,rpsL,2,0,0
Selenomonadaceae,Selenomonadales,Negativicutes,Bacillota,rpsL,30,0,0
Sh68,Dissulfuribacterales,Dissulfuribacteria,Desulfobacterota,rpsL,1,0,0
Shewanellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,116,0,0
Shumkoniaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Simkaniaceae,Chlamydiales,Chlamydiia,Chlamydiota,rpsL,1,0,0
Sneathiellaceae,Sneathiellales,Alphaproteobacteria,Pseudomonadota,rpsL,9,0,0
Sphaerochaetaceae,Sphaerochaetales,Spirochaetia,Spirochaetota,rpsL,6,1,0.16666666666666666
Sphingobacteriaceae,Sphingobacteriales,Bacteroidia,Bacteroidota,rpsL,15,0,0
Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rpsL,489,472,0.9652351738241309
Spirosomataceae,Cytophagales,Bacteroidia,Bacteroidota,rpsL,4,0,0
Spirulinaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rpsL,3,0,0
Spongiibacteraceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,14,0,0
Sporichthyaceae,Sporichthyales,Actinomycetes,Actinomycetota,rpsL,2,0,0
Sporomusaceae,Sporomusales,Negativicutes,Bacillota,rpsL,10,0,0
Stappiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,38,3,0.07894736842105263
Stellaceae,ATCC43930,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Steroidobacteraceae,Steroidobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,8,0,0
Streptomycetaceae,Streptomycetales,Actinomycetes,Actinomycetota,rpsL,849,12,0.014134275618374558
Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rpsL,241,4,0.016597510373443983
Succinispiraceae,Acidaminococcales,Negativicutes,Bacillota,rpsL,1,0,0
Succinivibrionaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,7,1,0.14285714285714285
Sulfuricellaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
