genus,family,order,class,phylum,n,n_res,f_res
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Abyssibacter,Oceanococcaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Abyssibius,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Abyssogena,NA,NA,NA,NA,1,0,0
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,1,0,0
Acaricomes,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Acaryochloris,Acaryochloridaceae,Acaryochloridales,Cyanophyceae,Cyanobacteriota,2,0,0
Acerihabitans,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Aceticella,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Bacillota,1,0,0
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,36,0,0
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,9,0,0
Acetohalobium,Halobacteroidaceae,Halanaerobiales,Clostridia,Bacillota,1,0,0
Acetomicrobium,Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,3,0,0
Acetonema,Acetonemataceae,NA,Negativicutes,Bacillota,1,0,0
Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,22,0,0
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,6,0,0
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,2,0,0
Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Acidihalobacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,4,0,0
Acidiluteibacter,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Acidimangrovimonas,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidiphilium,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,5,0,0
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,5,0,0
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,1,0,0
Acidisoma,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,3,0,0
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aciditerrimonas,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Pseudomonadota,15,0,0
Acidithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Acidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,1,0,0
Acidocella,Acidocellaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Acidomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Acidothermus,Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,1,0,0
Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,13,0,0
Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,94,0,0
Acrocarpospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,5,0,0
Actibacterium,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,6,0,0
Actimicrobium,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Actinacidiphila,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,16,0,0
Actinoallomurus,Thermomonosporaceae,Streptosporangiales,Actinomycetes,Actinomycetota,10,0,0
Actinoalloteichus,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,5,0,0
Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,15,0,0
Actinobaculum,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,2,0,0
Actinocatenispora,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,4,0,0
Actinocorallia,Thermomonosporaceae,Streptosporangiales,Actinomycetes,Actinomycetota,7,0,0
Actinocrinis,Actinospicaceae,Catenulisporales,Actinomycetes,Actinomycetota,1,0,0
Actinocrispum,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,1,0,0
Actinokineospora,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,16,0,0
Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinomycetes,Actinomycetota,67,0,0
Actinomarinicola,Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Actinomyces,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,44,2,0.045454545454545456
Actinomycetospora,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,18,0,0
Actinophytocola,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,6,0,0
Actinoplanes,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,33,0,0
Actinopolymorpha,Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,5,5,1
Actinopolyspora,Actinopolysporaceae,Actinopolysporales,Actinomycetes,Actinomycetota,9,0,0
Actinorhabdospora,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,1,0,0
Actinorugispora,Nocardiopsidaceae,Streptosporangiales,Actinomycetes,Actinomycetota,1,0,0
Actinospica,Actinospicaceae,Catenulisporales,Actinomycetes,Actinomycetota,3,0,0
Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,2,0,0
Actinotalea,Cellulomonadaceae,Micrococcales,Actinomycetes,Actinomycetota,6,0,0
Actinotignum,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,4,0,0
Actirhodobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,1,1,1
Actomonas,Opitutaceae,Opitutales,Opitutia,Verrucomicrobiota,1,0,0
Acuticoccus,Amorphaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,5,0,0
Adhaeretor,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,1,1,1
Adlercreutzia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,12,2,0.16666666666666666
Adonisia,NA,NA,NA,Cyanobacteriota,1,0,0
Advenella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,5,0,0
Aegicerativicinus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Aeoliella,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,2,2,1
Aequoribacter,Halieaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,1,0,0
Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,21,0,0
Aeribacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,3,0,0
Aeriscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinomycetes,Actinomycetota,1,0,0
Aerobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aerolutibacter,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,22,0,0
Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,32,0,0
Aerosakkonema,Aerosakkonemataceae,Aerosakkonematales,Cyanophyceae,Cyanobacteriota,1,0,0
Aerosticca,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Aestuariibacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Aestuariibaculum,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,4,0,0
Aestuariibius,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aestuariimicrobium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,2,2,1
Aestuariirhabdus,Aestuariirhabdaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aestuariispira,Kiloniellaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Aestuariivirga,Aestuariivirgaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aestuariivita,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aestuariivivens,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,4,0,0
Aetokthonos,Hapalosiphonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Affinibrenneria,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Afifella,Afifellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Afipia,Nitrobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,6,0,0
Agaribacillus,Splendidivirgaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Agaribacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Agaribacterium,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,1,0,0
Agaricicola,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Agarilytica,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,1,0,0
Agarivorans,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,4,0,0
Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,4,0,0
Aggregatimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Agilicoccus,Dermatophilaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Agitococcus,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,1,0,0
Agreia,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,2,0,0
Agrilutibacter,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,3,0,0
Agriterribacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,1,0,0
Agrobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,19,1,0.05263157894736842
Agrococcus,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,12,0,0
Agromyces,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,43,0,0
Ahniella,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Ahrensia,Ahrensiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aidingimonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,2,0,0
Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,4,1,0.25
Albibacillus,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Albidovulum,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,5,0,0
Albimonas,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Alcaligenes,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,7,0,0
Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,9,0,0
Aldersonia,Nocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,1,0,0
Alexandriicola,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Algibacillus,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Algibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,10,0,0
Algicella,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Algicola,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Algimonas,Robiginitomaculaceae,Maricaulales,Alphaproteobacteria,Pseudomonadota,3,0,0
Alginatibacterium,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Algiphilus,Algiphilaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Algirhabdus,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Algisphaera,Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetota,1,1,1
Algivirga,Flammeovirgaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Algoriella,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Algoriphagus,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,25,0,0
Aliagarivorans,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aliamphritea,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,3,0,0
Aliarcobacter,Arcobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,9,0,0
Alicycliphilus,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Alienimonas,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,2,2,1
Aliidiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,13,0,0
Aliidongia,Dongiaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aliifodinibius,NA,NA,NA,NA,1,0,0
Aliigemmobacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aliiglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Aliihoeflea,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aliikangiella,Pleioneaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,3,0,0
Aliirhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Aliiroseovarius,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,11,0,0
Aliiruegeria,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,3,0,0
Aliisedimentitalea,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aliishimia,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aliivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,5,0,0
Alishewanella,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,5,0,0
Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,16,0,0
Aliterella,Aliterellaceae,Chroococcidiopsidales,Cyanophyceae,Cyanobacteriota,1,0,0
Alkalibacter,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,3,0,0
Alkalibaculum,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,2,0,0
Alkalicaulis,Maricaulaceae,Maricaulales,Alphaproteobacteria,Pseudomonadota,1,0,0
Alkalicella,Proteinivoraceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Alkalidesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Alkalilacustris,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Alkalilimnicola,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Alkalimarinus,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,3,0,0
Alkalimonas,NA,NA,Gammaproteobacteria,Pseudomonadota,5,0,0
Alkalisalibacterium,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Alkalispirillum,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Alkalispirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetota,3,0,0
Alkalitalea,Marinilabiliaceae,Marinilabiliales,Bacteroidia,Bacteroidota,1,0,0
Alkanindiges,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,2,0,0
Allgaiera,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Allisonella,Veillonellaceae,Veillonellales,Negativicutes,Bacillota,1,0,0
Allitabrizicola,NA,NA,NA,NA,1,0,0
Alloacidobacterium,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,1,0,0
Alloalcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,8,0,0
Allobranchiibius,Dermacoccaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Allochromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,5,0,0
Allocoleopsis,Coleofasciculaceae,Coleofasciculales,Cyanophyceae,Cyanobacteriota,1,0,0
Allofrancisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,3,0,0
Allofranklinella,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Allohahella,Hahellaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Allokutzneria,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,3,0,0
Allomesorhizobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Allonocardiopsis,NA,Streptosporangiales,Actinomycetes,Actinomycetota,1,0,0
Allopontixanthobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,2,2,1
Alloprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,2,0,0
Allopseudospirillum,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Allopusillimonas,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,2,0,0
Allorhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,7,0,0
Allosaccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,1,0,0
Allosalinactinospora,Nocardiopsidaceae,Streptosporangiales,Actinomycetes,Actinomycetota,1,0,0
Alloscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinomycetes,Actinomycetota,5,0,0
Allosediminivita,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Allosphingosinicella,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,2,2,1
Allostreptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,1,0,0
Allotamlana,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Alloyangia,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Almyronema,Nodosilineaceae,Nodosilineales,Cyanophyceae,Cyanobacteriota,1,0,0
Alpinimonas,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Alsobacter,Alsobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Alteraurantiacibacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,3,3,1
Altererythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,12,12,1
Altericroceibacterium,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,4,4,1
Alterinioella,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Alteripontixanthobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,2,2,1
Alteriqipengyuania,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,4,4,1
Alterisphingorhabdus,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,1,1,1
Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,29,0,0
Altibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Alysiella,Neisseriaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,2,0,0
Amantichitinum,Chitinibacteraceae,Neisseriales,Betaproteobacteria,Pseudomonadota,1,0,0
Amaricoccus,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Amazonocrinis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Ameyamaea,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Aminiphilus,Aminiphilaceae,Synergistales,Synergistia,Synergistota,1,0,0
Aminithiophilus,Aminithiophilaceae,Synergistales,Synergistia,Synergistota,1,0,0
Aminivibrio,Aminobacteriaceae,Synergistales,Synergistia,Synergistota,1,0,0
Aminobacter,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,6,0,0
Aminobacterium,Aminobacteriaceae,Synergistales,Synergistia,Synergistota,2,0,0
Aminomonas,Synergistaceae,Synergistales,Synergistia,Synergistota,1,0,0
Ammonifex,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Bacillota,2,0,0
Amnibacterium,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,5,0,0
Amnimonas,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,1,0,0
Amorphus,Amorphaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Amphiplicatus,Parvularculaceae,Parvularculales,Alphaproteobacteria,Pseudomonadota,1,0,0
Amphritea,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,5,0,0
Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,86,0,0
Amylibacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,6,0,0
Anabaenopsis,Nodulariaceae,Nostocales,Cyanophyceae,Cyanobacteriota,3,0,0
Anaeroarcus,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,1,0,0
Anaerobaca,Anaerobacaceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,1,1,1
Anaerobiospirillum,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,2,1,0.5
Anaerobranca,Proteinivoraceae,Eubacteriales,Clostridia,Bacillota,2,0,0
Anaerocaecibacter,Pumilibacteraceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Anaerofustis,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Anaeroglobus,Veillonellaceae,Veillonellales,Negativicutes,Bacillota,1,0,0
Anaerohalosphaera,Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,1,1,1
Anaeromusa,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,1,0,0
Anaeromyxobacter,Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota,7,0,0
Anaerophaga,Marinilabiliaceae,Marinilabiliales,Bacteroidia,Bacteroidota,1,0,0
Anaeroselena,Acetonemataceae,NA,Negativicutes,Bacillota,1,0,0
Anaerosoma,Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,1,0,0
Anaerospora,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,1,0,0
Anaerosporomusa,Acetonemataceae,NA,Negativicutes,Bacillota,1,0,0
Anaerotardibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,1,0,0
Anaerovibrio,Selenomonadaceae,Selenomonadales,Negativicutes,Bacillota,2,0,0
Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,7,0,0
Ancrocorticia,Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,1,1,1
Ancylobacter,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,18,0,0
Ancylomarina,Marinifilaceae,Marinilabiliales,Bacteroidia,Bacteroidota,4,0,0
Anditalea,Cytophagaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Andreprevotia,Chitinibacteraceae,Neisseriales,Betaproteobacteria,Pseudomonadota,2,0,0
Angustibacter,Kineosporiaceae,Kineosporiales,Actinomycetes,Actinomycetota,1,0,0
Anianabacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Anoxybacter,NA,Halanaerobiales,Clostridia,Bacillota,1,0,0
Anseongella,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidota,1,0,0
Antarcticibacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Antarcticimicrobium,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Antarcticirhabdus,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Antarctobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Antiquaquibacter,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Antribacter,Promicromonosporaceae,Micrococcales,Actinomycetes,Actinomycetota,2,0,0
Antricoccus,Antricoccaceae,Geodermatophilales,Actinomycetes,Actinomycetota,1,0,0
Antrihabitans,Nocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,4,0,0
Aphanizomenon,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Aphanothece,Aphanothecaceae,Chroococcales,Cyanophyceae,Cyanobacteriota,5,0,0
Apibacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,4,0,0
Aquabacter,Xanthobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Aquabacterium,NA,Burkholderiales,Betaproteobacteria,Pseudomonadota,7,0,0
Aquamicrobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,7,0,0
Aquariibacter,Sphaerotilaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,2,0,0
Aquaspirillum,Aquaspirillaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,1,0,0
Aquaticitalea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Aquella,Neisseriaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,1,0,0
Aquibaculum,Rhodovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Aquibium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
