genus,family,order,class,phylum,n,n_res,f_res
Thiobaca,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiobacillus,Thiobacillaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,3,0,0
Thiobacter,Thiobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Thiocapsa,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,5,0,0
Thioclava,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,11,0,0
Thiococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiocystis,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,3,0,0
Thiofilum,Thiofilaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thioflavicoccus,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thioflexithrix,NA,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiogranum,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalobacter,Thiohalobacteraceae,Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalocapsa,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiohalomonas,Thiohalomonadaceae,Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalophilus,Thiohalophilaceae,Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiohalorhabdus,Thiohalorhabdaceae,Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,2,0,0
Thiohalospira,Thiohalospiraceae,Thiohalospirales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiolapillus,Sedimenticolaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiolinea,Thiolinaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiomicrorhabdus,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,11,0,0
Thiomicrospira,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,4,0,0
Thiomonas,NA,Burkholderiales,Betaproteobacteria,Pseudomonadota,4,0,0
Thiopseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,3,0,0
Thiorhodococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,4,0,0
Thiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiorhodovibrio,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,3,0,0
Thiosocius,Sedimenticolaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiospirillum,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiosulfatihalobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Thiosulfatimonas,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiosulfativibrio,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Thiothrix,Thiotrichaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,9,0,0
Thiovibrio,Thiovibrionaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Thorsellia,Thorselliaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Tianweitania,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Tibeticola,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Tichowtungia,Tichowtungiaceae,Tichowtungiales,Tichowtungiia,Kiritimatiellota,1,0,0
Timonella,NA,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Tistlia,Rhodovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Tistrella,Geminicoccaceae,Geminicoccales,Alphaproteobacteria,Pseudomonadota,3,0,0
Tolumonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,3,0,0
Tolypothrix,Tolypothrichaceae,Nostocales,Cyanophyceae,Cyanobacteriota,3,0,0
Tomitella,NA,Mycobacteriales,Actinomycetes,Actinomycetota,4,0,0
Trabulsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Tractidigestivibacter,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,2,2,1
Tranquillimonas,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Trebonia,Treboniaceae,Streptosporangiales,Actinomycetes,Actinomycetota,1,1,1
Treponema,Treponemataceae,Spirochaetales,Spirochaetia,Spirochaetota,25,0,0
Trichlorobacter,Geobacteraceae,Geobacterales,Desulfuromonadia,Thermodesulfobacteriota,3,0,0
Trichocoleus,Trichocoleusaceae,Leptolyngbyales,Cyanophyceae,Cyanobacteriota,1,0,0
Trichodesmium,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,1,0,0
